,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하,지역
415,서울 동작구 00동,295, 33 개,  개,00 대,4000 만원,490,0,25000,-선택사항- ,-선택사항-     ,4000,25000,33,490,0,38,25000,490,110,3.5,4.5,7.5,12780,12780,12780,1191,1065,877,7092,5580,3324,591,465,277,28,22,13,동작구
416,서울 동작구 00동,420, 53 개,  개,00 대,4000 만원,500,0,21000,-선택사항- ,-선택사항-     ,4000,21000,53,500,0,38,21000,500,176,1.4,1.7,2.4,20532,20532,20532,1913,1711,1409,14844,12420,8796,1237,1035,733,70,59,41,동작구
417,서울 강서구 00동,0, 41 개,  개,00 대,3000 만원,300,0,11000,-선택사항- ,-선택사항-     ,3000,11000,41,300,0,34,11000,300,136,1.0,1.2,1.7,14208,14208,14208,1324,1184,975,10656,8976,6468,888,748,539,96,81,58,강서구
418,서울 영등포구 00동,0, 41 개,  개,00 대,5000 만원,400,0,17000,-선택사항- ,-선택사항-     ,5000,17000,41,400,0,38,17000,400,136,1.5,1.8,2.6,15888,15888,15888,1480,1324,1090,11328,9456,6648,944,788,554,66,55,39,영등포구
419,서울 노원구 00동,283,  개,  개,00 대, 만원,300, 10만원 ,5000,-선택사항- ,-선택사항-     ,0,5000,0,300,10,36,5000,310,100,0.7,0.8,1.2,11016,11016,11016,1026,918,756,7392,6096,4152,616,508,346,147,121,83,노원구
420,서울 성북구 00동,520, 47 개, 47 개,00 대,5천 만원,680,50,3억2천,-선택사항- ,-선택사항-     ,5000,32000,47,680,50,37,32000,730,156,3.5,4.5,8.1,17736,17736,17736,1652,1478,1217,9192,7104,3972,766,592,331,28,22,12,성북구
421,서울 동작구 00동,328, 35 개, 35 개,00 대,1억5천 만원,470,30,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30,38,32000,500,116,4.1,5.2,8.5,13560,13560,13560,1263,1130,930,7764,6168,3768,647,514,314,24,19,11,동작구
422,서울 중구 00동,380, 42 개, 42 개,00 대,6천 만원,580,50,3억6천,-선택사항- ,-선택사항-     ,6000,36000,42,580,50,41,36000,630,140,3.5,4.3,6.9,17556,17556,17556,1635,1463,1205,10380,8316,5220,865,693,435,28,23,14,중구
423,서울 동작구 00동,330, 32 개, 32 개,00 대,4천 만원,290,0,2억8천,-선택사항- ,-선택사항-     ,4000,28000,32,290,0,38,28000,290,106,3.1,3.7,5.1,12396,12396,12396,1155,1033,851,9108,7644,5460,759,637,455,32,27,19,동작구
424,서울 성동구 00동,376, 42 개, 42 개,00 대,4천 만원,470,60,3억3천,-선택사항- ,-선택사항-     ,4000,33000,42,470,60,38,33000,530,140,3.3,4.0,6.2,16272,16272,16272,1516,1356,1117,10152,8232,5364,846,686,447,30,24,16,성동구
425,서울 송파구 00동,320, 30 개, 30 개,00 대,5천 만원,370,30,3억2천,-선택사항- ,-선택사항-     ,5000,32000,30,370,30,42,32000,400,100,3.8,4.7,7.0,12852,12852,12852,1197,1071,882,8364,6852,4584,697,571,382,26,21,14,송파구
426,서울 동작구 00동,0, 34 개,  개,00 대,4000 만원,490,0,23000,-선택사항- ,-선택사항-     ,4000,23000,34,490,0,38,23000,490,113,3.1,3.9,6.4,13176,13176,13176,1227,1098,904,7488,5940,3612,624,495,301,32,25,15,동작구
427,서울 양천구 00동,0, 41 개,  개,00 대,9000 만원,470,0,17000,-선택사항- ,-선택사항-     ,9000,17000,41,470,0,35,17000,470,136,1.9,2.3,3.6,14628,14628,14628,1363,1219,1004,9084,7356,4776,757,613,398,53,43,28,양천구
428,서울 양천구 00동,0, 33 개,  개,00 대,2000 만원,330,0,26000,-선택사항- ,-선택사항-     ,2000,26000,33,330,0,35,26000,330,110,3.3,4.0,5.9,11772,11772,11772,1097,981,808,7884,6492,4416,657,541,368,30,24,16,양천구
429,서울 강남구 00동,0, 44 개,  개,00 대,6000 만원,570,0,24000,-선택사항- ,-선택사항-     ,6000,24000,44,570,0,48,24000,570,146,1.6,1.9,2.6,21540,21540,21540,2006,1795,1478,15480,12948,9144,1290,1079,762,64,53,38,강남구
430,서울 송파구 00동,330, 36 개, 21 개,00 대,5000 만원,470,0,2억3천,-선택사항- ,-선택사항-     ,5000,23000,36,470,0,42,23000,470,120,2.3,2.8,4.1,15420,15420,15420,1436,1285,1058,10152,8340,5616,846,695,468,44,36,24,송파구
431,서울 영등포구 00동,294, 30 개,  개,00 대,4000 만원,300,0,25000,-선택사항- ,-선택사항-     ,4000,25000,30,300,0,38,25000,300,100,3.1,3.7,5.2,11628,11628,11628,1083,969,798,8196,6828,4776,683,569,398,32,27,19,영등포구
432,서울 동작구 00동,295, 33 개,  개,00 대,4000 만원,530,0,25000,-선택사항- ,-선택사항-     ,4000,25000,33,530,0,38,25000,530,110,3.8,4.9,8.8,12780,12780,12780,1191,1065,877,6612,5100,2844,551,425,237,26,20,11,동작구
433,서울 노원구 00동,500, 55 개,  개,00 대,6000 만원,680,0,30000,-선택사항- ,-선택사항-     ,6000,30000,55,680,0,36,30000,680,183,2.5,3.0,4.8,20196,20196,20196,1881,1683,1386,12216,9840,6276,1018,820,523,40,32,20,노원구
434,서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0,38,15000,390,116,1.7,2.0,2.9,13560,13560,13560,1263,1130,930,9084,7488,5088,757,624,424,60,49,33,영등포구
435,서울 동작구 00동,427.64, 35 개,  개,00 대,5000 만원,330,40,17000,-선택사항- ,-선택사항-     ,5000,17000,35,330,40,38,17000,370,116,1.8,2.2,3.2,13560,13560,13560,1263,1130,930,9324,7728,5328,777,644,444,54,45,31,동작구
436,서울 노원구 00동,283,  개,  개,00 대,5000 만원,300,10,5000,-선택사항- ,-선택사항-     ,5000,5000,0,300,10,36,5000,310,100,0.7,0.8,1.2,11016,11016,11016,1026,918,756,7392,6096,4152,616,508,346,147,121,83,노원구
437,서울 구로구 00동,500,  개,  개,00 대,7000 만원,450, 사용량에 따라 부과 ,1억3000,-선택사항- ,-선택사항-     ,7000,13000,0,450,0,36,13000,450,100,2.3,2.9,5.3,11016,11016,11016,1026,918,756,5712,4416,2472,476,368,206,43,33,19,구로구
438,서울 동작구 00동,0, 34 개,  개,00 대,5000 만원,490,0,24000,-선택사항- ,-선택사항-     ,5000,24000,34,490,0,38,24000,490,113,3.2,4.0,6.6,13176,13176,13176,1227,1098,904,7488,5940,3612,624,495,301,31,24,15,동작구
439,서울 영등포구 00동,0, 36 개,  개,00 대,8000 만원,340,0,16000,-선택사항- ,-선택사항-     ,8000,16000,36,340,0,38,16000,340,120,1.6,1.9,2.7,13944,13944,13944,1299,1162,957,10068,8424,5964,839,702,497,62,52,37,영등포구
440,서울 양천구 00동,0, 42 개,  개,00 대,10000 만원,470,0,18000,-선택사항- ,-선택사항-     ,10000,18000,42,470,0,35,18000,470,140,1.9,2.3,3.6,14988,14988,14988,1396,1249,1029,9432,7668,5028,786,639,419,52,42,27,양천구
441,서울 송파구 00동,310, 30 개, 30 개,00 대,4천 만원,390,60,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,390,60,42,23000,450,100,3.0,3.7,5.8,12852,12852,12852,1197,1071,882,7764,6252,3984,647,521,332,33,27,17,송파구
442,서울 강남구 00동,. , 50 개, . 개,. 대,. 만원, . , . ,4억8천,2호선 강남역,-선택사항-     ,0,48000,50,0,0,48,48000,0,166,1.9,2.1,2.6,24480,24480,24480,2280,2040,1680,25368,22488,18168,2114,1874,1514,52,46,37,강남구
443,서울 성북구 00동,520, 47 개, 47 개,00 대,5천 만원,680,50,3억2천,-선택사항- ,-선택사항-     ,5000,32000,47,680,50,37,32000,730,156,3.5,4.5,8.1,17736,17736,17736,1652,1478,1217,9192,7104,3972,766,592,331,28,22,12,성북구
444,서울 노원구 00동,. , 44 개, . 개,. 대,. 만원, . , . ,2억5천,7호선 공릉역,-선택사항-     ,0,25000,44,0,0,36,25000,0,146,1.5,1.7,2.2,16152,16152,16152,1504,1346,1108,16296,14400,11544,1358,1200,962,65,57,46,노원구
445,서울 강서구 00동,447, 39 개,  개,00 대,9천 만원,450,20,1억7천,-선택사항- ,-선택사항-     ,9000,17000,39,450,20,34,17000,470,130,2.1,2.7,4.3,13524,13524,13524,1259,1127,928,7908,6324,3936,659,527,328,46,37,23,강서구
446,서울 영등포구 00동,320, 29 개, 29 개,00 대,4천 만원,300,0,2억6천,-선택사항- ,-선택사항-     ,4000,26000,29,300,0,38,26000,300,96,3.3,4.0,5.8,11232,11232,11232,1046,936,771,7800,6480,4500,650,540,375,30,24,17,영등포구
447,서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0,38,15000,390,116,1.7,2.0,2.9,13560,13560,13560,1263,1130,930,9084,7488,5088,757,624,424,60,49,33,영등포구
448,서울 구로구 00동,340, 40 개, 27 개,1 대,4000 만원,380,0,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0,36,17000,380,133,1.7,2.0,2.9,14688,14688,14688,1368,1224,1007,10260,8532,5928,855,711,494,60,50,34,구로구
449,서울 마포구 00동,280, 30 개, 28 개,1 대,4000 만원,300,0,15000,-선택사항- ,-선택사항-     ,4000,15000,30,300,0,40,15000,300,100,1.7,2.0,2.8,12240,12240,12240,1140,1020,840,8880,7440,5280,740,620,440,59,49,35,마포구
450,서울 동작구 00동,220, 34 개,  개,00 대,3000 만원,200,0,6500,-선택사항- ,-선택사항-     ,3000,6500,34,200,0,38,6500,200,113,0.6,0.7,0.9,13176,13176,13176,1227,1098,904,10968,9420,7092,914,785,591,168,144,109,동작구
451,서울 은평구 00동,240, 17 개,  개,00 대, 만원,500,20,11000,-선택사항- ,-선택사항-     ,0,11000,17,500,20,40,11000,520,56,13.1,458.3,-9.1,6936,6936,6936,646,578,475,840,24,-1212,70,2,-101,7,0,-11,은평구
452,서울 영등포구 00동,220, 46 개,  개,00 대,7000 만원,472,0,7000,-선택사항- ,-선택사항-     ,7000,7000,46,472,0,38,7000,472,153,0.6,0.7,1.0,17820,17820,17820,1660,1485,1223,12420,10320,7176,1035,860,598,177,147,102,영등포구
453,서울 관악구 00동,225, 35 개,  개,00 대, 만원,250,0,7000,-선택사항- ,-선택사항-     ,0,7000,35,250,0,33,7000,250,116,0.8,0.9,1.3,11772,11772,11772,1097,981,808,8772,7380,5304,731,615,442,125,105,75,관악구
454,서울 동작구 00동,240, 40 개,  개,00 대,2000 만원,200,0,9000,-선택사항- ,-선택사항-     ,2000,9000,40,200,0,38,9000,200,133,0.7,0.8,1.0,15504,15504,15504,1444,1292,1064,13332,11508,8772,1111,959,731,148,127,97,동작구
455,서울 마포구 동교동,360, 36 개, 36 개,1 대,3천 만원,420,30,합2억1천,-선택사항- ,-선택사항-     ,3000,21000,36,420,30,40,21000,450,120,2.2,2.7,4.0,14688,14688,14688,1368,1224,1007,9576,7848,5244,798,654,437,45,37,24,마포구
456,서울 중구 00동,420, 37 개, 37 개,00 대,6000 만원,650,0,2억2천,-선택사항- ,-선택사항-     ,6000,22000,37,650,0,41,22000,650,123,2.7,3.6,6.4,15468,15468,15468,1441,1289,1061,8016,6192,3456,668,516,288,36,28,15,중구
457,서울 중구 00동,420, 37 개, 37 개,00 대,6000 만원,650,0,2억2천,-선택사항- ,-선택사항-     ,6000,22000,37,650,0,41,22000,650,123,2.7,3.6,6.4,15468,15468,15468,1441,1289,1061,8016,6192,3456,668,516,288,36,28,15,중구
458,서울 중구 00동,420, 37 개, 37 개,00 대,6000 만원,650,0,2억2천,-선택사항- ,-선택사항-     ,6000,22000,37,650,0,41,22000,650,123,2.7,3.6,6.4,15468,15468,15468,1441,1289,1061,8016,6192,3456,668,516,288,36,28,15,중구
459,서울 중구 00동,420, 37 개, 37 개,00 대,6000 만원,650,0,2억2천,-선택사항- ,-선택사항-     ,6000,22000,37,650,0,41,22000,650,123,2.7,3.6,6.4,15468,15468,15468,1441,1289,1061,8016,6192,3456,668,516,288,36,28,15,중구
460,서울 중구 00동,420, 37 개, 37 개,00 대,6000 만원,650,0,2억2천,-선택사항- ,-선택사항-     ,6000,22000,37,650,0,41,22000,650,123,2.7,3.6,6.4,15468,15468,15468,1441,1289,1061,8016,6192,3456,668,516,288,36,28,15,중구
461,서울 영등포구 신길역,283.55, 39 개,  개,00 대,2500 만원,330,0,1억8500,-선택사항- ,-선택사항-     ,2500,18500,39,330,0,38,18500,330,130,1.6,1.9,2.7,15108,15108,15108,1407,1259,1037,11364,9588,6924,947,799,577,61,51,37,영등포구
462,서울 강서구 00동,189,  개,  개,00 대,3000 만원,290, 없음 ,1억1000,-선택사항- ,-선택사항-     ,3000,11000,0,290,0,34,11000,290,100,1.6,1.9,2.8,10404,10404,10404,969,867,714,6948,5724,3888,579,477,324,63,52,35,강서구
463,서울 중랑구 상봉,390, 30 개, 풀30 개,1 대,5천 만원,370,30,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,370,30,32,27000,400,100,5.5,7.1,13.1,9792,9792,9792,912,816,672,4944,3792,2064,412,316,172,18,14,7,중랑구
464,서울 영등포구 영등포동,390, 40 개, 원13 개,1 대,2500 만원,190,20,합1억7천,-선택사항- ,-선택사항-     ,2500,17000,40,190,20,38,17000,210,133,1.3,1.5,2.0,15504,15504,15504,1444,1292,1064,13212,11388,8652,1101,949,721,77,66,50,영등포구
465,서울 노원구 00동,283,  개,  개,00 대,5000 만원,300,10,5000,-선택사항- ,-선택사항-     ,5000,5000,0,300,10,36,5000,310,100,0.7,0.8,1.2,11016,11016,11016,1026,918,756,7392,6096,4152,616,508,346,147,121,83,노원구
466,서울 송파구 00,300, 30 개, 30 개,1 대,5000 만원,400,0,3억3천,-선택사항- ,-선택사항-     ,5000,33000,30,400,0,42,33000,400,100,3.9,4.8,7.2,12852,12852,12852,1197,1071,882,8364,6852,4584,697,571,382,25,20,13,송파구
467,서울 영등포구 00동,459.5,  개,  개,00 대,2500 만원,330,0,18500,-선택사항- ,-선택사항-     ,2500,18500,0,330,0,38,18500,330,100,2.4,2.9,4.2,11628,11628,11628,1083,969,798,7836,6468,4416,653,539,368,42,34,23,영등포구
468,서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0,38,27000,580,116,4.0,5.2,9.6,13560,13560,13560,1263,1130,930,6804,5208,2808,567,434,234,25,19,10,강동구
469,서울 동작구 00동,423.14, 54 개,  개,00 대,4000 만원,500,0,21000,-선택사항- ,-선택사항-     ,4000,21000,54,500,0,38,21000,500,180,1.4,1.6,2.3,20928,20928,20928,1949,1744,1436,15228,12768,9072,1269,1064,756,72,60,43,동작구
470,서울 노원구 00동,209.1,  개,  개,00 대,5500 만원,390,0,8500,-선택사항- ,-선택사항-     ,5500,8500,0,390,0,36,8500,390,100,1.3,1.7,2.7,11016,11016,11016,1026,918,756,6432,5136,3192,536,428,266,75,60,37,노원구
471,서울 동작구 노량진동,158.76, 32 개, 32 개,X 대,4천 만원,490, 10만원 ,2억5천,-선택사항- ,-선택사항-     ,4000,25000,32,490,10,38,25000,500,106,3.8,4.9,8.5,12396,12396,12396,1155,1033,851,6588,5124,2940,549,427,245,26,20,11,동작구
472,서울 도봉구 00동,209.1,  개,  개,00 대,4000 만원,210,0,9000,-선택사항- ,-선택사항-     ,4000,9000,0,210,0,32,9000,210,100,1.2,1.5,2.1,9792,9792,9792,912,816,672,7224,6072,4344,602,506,362,80,67,48,도봉구
473,서울 서초구 서초동,151.2, 34 개, 17 개,4 대,5천 만원,422, 포함 ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,34,422,0,45,27000,422,113,2.5,2.9,4.2,15600,15600,15600,1453,1300,1071,11016,9180,6432,918,765,536,40,34,23,서초구
474,서울 관악구 봉천동,254.6, 35 개, 35 개,2 대,3천 만원,390, 포함 ,1억8천,-선택사항- ,-선택사항-     ,3000,18000,35,390,0,33,18000,390,116,2.5,3.2,5.0,11772,11772,11772,1097,981,808,7092,5700,3624,591,475,302,39,31,20,관악구
475,서울 강동구 00동,120,  개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,0,550,0,38,28000,550,100,5.4,7.3,15.8,11628,11628,11628,1083,969,798,5196,3828,1776,433,319,148,18,13,6,강동구
476,서울 강동구 00동,120,  개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,0,550,0,38,28000,550,100,5.4,7.3,15.8,11628,11628,11628,1083,969,798,5196,3828,1776,433,319,148,18,13,6,강동구
477,서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0,38,21000,510,110,3.1,3.9,6.8,12780,12780,12780,1191,1065,877,6852,5340,3084,571,445,257,32,25,14,동작구
478,서울 종로구 00동,100, 36 개,  개,00 대,8000 만원,450,0,18000,-선택사항- ,-선택사항-     ,8000,18000,36,450,0,42,18000,450,120,1.7,2.1,3.1,15420,15420,15420,1436,1285,1058,10392,8580,5856,866,715,488,57,47,32,종로구
479,서울 양천구 00동,0, 34 개,  개,00 대,2000 만원,300,0,27000,-선택사항- ,-선택사항-     ,2000,27000,34,300,0,35,27000,300,113,3.1,3.8,5.4,12132,12132,12132,1130,1011,833,8604,7176,5040,717,598,420,31,26,18,양천구
480,서울 종로구 00동,. , 47 개, . 개,. 대,. 만원, . , . ,2억3천,4호선 혜화역,-선택사항-     ,0,23000,47,0,0,42,23000,0,156,1.1,1.3,1.6,20124,20124,20124,1875,1677,1381,20628,18252,14700,1719,1521,1225,89,79,63,종로구
481,서울 동대문구 00동,. , 60 개, . 개,. 대,. 만원, . , . ,2억8천,5호선 답십리역,-선택사항-     ,0,28000,60,0,0,37,28000,0,200,1.2,1.4,1.7,22644,22644,22644,2109,1887,1554,22908,20244,16248,1909,1687,1354,81,72,58,동대문구
482,서울 종로구 00동,. , 39 개, . 개,. 대,. 만원, . , . ,3헉9천,2호선 을지로3역,-선택사항-     ,0,39000,39,0,0,42,39000,0,130,2.3,2.6,3.2,16704,16704,16704,1556,1392,1146,17112,15144,12192,1426,1262,1016,43,38,31,종로구
483,서울 마포구 00동,. , ☎ 개, . 개,. 대,. 만원, . , . ,3억2천,2호선 홍대입구역,-선택사항-     ,0,32000,0,0,0,40,32000,0,100,2.6,2.9,3.6,12240,12240,12240,1140,1020,840,12480,11040,8880,1040,920,740,39,34,27,마포구
484,서울 종로구 00동,. , 55 개, . 개,. 대,. 만원, . , . ,2억,4호선 혜화역,-선택사항-     ,0,20000,55,0,0,42,20000,0,183,0.8,0.9,1.2,23556,23556,23556,2194,1963,1617,24132,21360,17208,2011,1780,1434,120,106,86,종로구
485,서울 서대문구 00동,* ,  개,  개,00 대, 만원,630,0,37000,-선택사항- ,-선택사항-     ,0,37000,0,630,0,39,37000,630,100,8.1,11.7,34.6,11928,11928,11928,1111,994,819,4572,3168,1068,381,264,89,12,8,2,서대문구
486,서울 강서구 00동,* ,  개,  개,00 대, 만원,200,0,10000,-선택사항- ,-선택사항-     ,0,10000,0,200,0,34,10000,200,100,1.2,1.5,2.0,10404,10404,10404,969,867,714,8028,6804,4968,669,567,414,80,68,49,강서구
487,서울 강동구 00동,* ,  개,  개,00 대, 만원,500,0,20000,-선택사항- ,-선택사항-     ,0,20000,0,500,0,38,20000,500,100,3.5,4.5,8.4,11628,11628,11628,1083,969,798,5796,4428,2376,483,369,198,28,22,11,강동구
488,서울 강남구 00동,* ,  개,  개,00 대, 만원,580,0,22000,-선택사항- ,-선택사항-     ,0,22000,0,580,0,48,22000,580,100,2.7,3.4,5.6,14688,14688,14688,1368,1224,1007,8256,6528,3924,688,544,327,37,29,17,강남구
489,서울 강서구 00동,90평 , 41 개, 4 개,노 대,3500 만원,330, 20만원 ,일억,-선택사항- ,-선택사항-     ,3500,10000,41,330,20,34,10000,350,136,1.0,1.2,1.7,14208,14208,14208,1324,1184,975,10056,8376,5868,838,698,489,100,83,58,강서구
490,서울 강동구 암사동,172.15, 42 개,  개,00 대,4500 만원,230,0,1억2000,-선택사항- ,-선택사항-     ,4500,12000,42,230,0,38,12000,230,140,0.9,1.0,1.3,16272,16272,16272,1516,1356,1117,13752,11832,8964,1146,986,747,114,98,74,강동구
491,서울 동작구 00동,180, 24 개,  개,00 대,5000 만원,250,0,14000,-선택사항- ,-선택사항-     ,5000,14000,24,250,0,38,14000,250,80,2.2,2.6,3.8,9300,9300,9300,866,775,638,6432,5340,3696,536,445,308,45,38,26,동작구
492,서울 영등포구 00동,199, 40 개, 0 개,00 대,3000 만원,240,10,11000,-선택사항- ,-선택사항-     ,3000,11000,40,240,10,38,11000,250,133,0.9,1.0,1.3,15504,15504,15504,1444,1292,1064,12732,10908,8172,1061,909,681,115,99,74,영등포구
493,서울 영등포구 00동,239, 34 개, 0 개,00 대,7000 만원,360,15,16000,-선택사항- ,-선택사항-     ,7000,16000,34,360,15,38,16000,375,113,1.8,2.2,3.2,13176,13176,13176,1227,1098,904,8868,7320,4992,739,610,416,55,45,31,영등포구
494,서울 동작구 00동,209, 23 개, 0 개,00 대,5000 만원,250,5,14000,-선택사항- ,-선택사항-     ,5000,14000,23,250,5,38,14000,255,76,2.3,2.8,4.2,8904,8904,8904,830,742,611,5988,4932,3360,499,411,280,42,35,24,동작구
495,서울 영등포구 00동,295, 30 개,  개,00 대,4000 만원,330,0,25000,-선택사항- ,-선택사항-     ,4000,25000,30,330,0,38,25000,330,100,3.2,3.9,5.7,11628,11628,11628,1083,969,798,7836,6468,4416,653,539,368,31,25,17,영등포구
496,서울 서대문구 00동,240, 37 개,  개,00 대,4000 만원,450,0,21000,-선택사항- ,-선택사항-     ,4000,21000,37,450,0,39,21000,450,123,2.2,2.7,4.0,14712,14712,14712,1370,1226,1010,9564,7836,5244,797,653,437,45,37,24,서대문구
497,서울 관악구 00동,440, 41 개,  개,00 대,5000 만원,330,0,14000,-선택사항- ,-선택사항-     ,5000,14000,41,330,0,33,14000,330,136,1.4,1.7,2.4,13800,13800,13800,1285,1150,947,9828,8208,5772,819,684,481,70,58,41,관악구
498,서울 노원구 00동,500, 53 개,  개,00 대,6000 만원,680,0,30000,-선택사항- ,-선택사항-     ,6000,30000,53,680,0,36,30000,680,176,2.6,3.3,5.2,19452,19452,19452,1812,1621,1335,11472,9180,5748,956,765,479,38,30,19,노원구
499,서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0,38,15000,390,116,1.7,2.0,2.9,13560,13560,13560,1263,1130,930,9084,7488,5088,757,624,424,60,49,33,영등포구
500,서울 동작구 00동,. ,  개,  개,00 대, 만원,392,0,2억,-선택사항- ,-선택사항-     ,0,20000,0,392,0,38,20000,392,100,2.8,3.5,5.4,11628,11628,11628,1083,969,798,7092,5724,3672,591,477,306,35,28,18,동작구
501,서울 중구 00동,. ,  개,  개,00 대, 만원,443,0,1억8천,-선택사항- ,-선택사항-     ,0,18000,0,443,0,41,18000,443,100,2.4,3.0,4.7,12540,12540,12540,1168,1045,861,7500,6024,3816,625,502,318,41,33,21,중구
502,서울 동작구 노량진동,814.48, 50 개,  개,00 대,7000 만원,570,0,2억3000,-선택사항- ,-선택사항-     ,7000,23000,50,570,0,38,23000,570,166,1.8,2.2,3.2,19380,19380,19380,1805,1615,1330,12828,10548,7128,1069,879,594,55,45,30,동작구
503,서울 동대문구 00동,490, 55 개, 55 개,00 대,5천 만원,800,0,3억2천,-선택사항- ,-선택사항-     ,5000,32000,55,800,0,37,32000,800,183,2.8,3.6,6.0,20748,20748,20748,1933,1729,1424,11400,8952,5292,950,746,441,35,27,16,동대문구
504,서울 중랑구 00동,330, 35 개, 18 개,00 대,5천 만원,400,0,1억3천,-선택사항- ,-선택사항-     ,5000,13000,35,400,0,32,13000,400,116,2.0,2.5,4.0,11424,11424,11424,1064,952,784,6576,5232,3216,548,436,268,50,40,24,중랑구
505,서울 영등포구 00동,295, 29 개,  개,00 대,4천 만원,300,0,2억6천,-선택사항- ,-선택사항-     ,4000,26000,29,300,0,38,26000,300,96,3.3,4.0,5.8,11232,11232,11232,1046,936,771,7800,6480,4500,650,540,375,30,24,17,영등포구
506,서울 중랑구 00동,150,  개,  개,00 대,3000 만원,190, 5만원 ,7500,-선택사항- ,-선택사항-     ,3000,7500,0,190,5,32,7500,195,100,1.0,1.2,1.7,9792,9792,9792,912,816,672,7404,6252,4524,617,521,377,98,83,60,중랑구
507,서울 강서구 00동,260,  개,  개,00 대,2000 만원,100, 사용량에 따라 부과 ,5000,-선택사항- ,-선택사항-     ,2000,5000,0,100,0,34,5000,100,100,0.5,0.6,0.8,10404,10404,10404,969,867,714,9228,8004,6168,769,667,514,184,160,123,강서구
508,서울 광진구 군자동,370, 30 개, 30 개,1 대,6천 만원,370, 15만수도료 ,합1억7천,-선택사항- ,-선택사항-     ,6000,17000,30,370,15,39,17000,385,100,2.3,2.8,4.2,11928,11928,11928,1111,994,819,7512,6108,4008,626,509,334,44,35,23,광진구
509,서울 송파구 가락동,118.83, 26 개, 15 개,3 대,4천 만원,320, 23만원 ,1억4천,-선택사항- ,-선택사항-     ,4000,14000,26,320,23,42,14000,343,86,1.9,2.3,3.5,11136,11136,11136,1037,928,764,7296,5988,4020,608,499,335,52,42,28,송파구
510,서울 구로구 00동,295, 34 개,  개,00 대,5천 만원,350,0,2억6천,-선택사항- ,-선택사항-     ,5000,26000,34,350,0,36,26000,350,113,3.1,3.8,5.5,12480,12480,12480,1162,1040,856,8388,6924,4716,699,577,393,32,26,18,구로구
511,서울 강남구 00동,301, 36 개,  개,00 대,5천 만원,580,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,36,580,0,48,22000,580,120,1.9,2.4,3.6,17616,17616,17616,1641,1468,1209,11292,9216,6108,941,768,509,51,41,27,강남구
512,서울 강동구 성내동,176.22, 35 개, 35 개,1 대,5천 만원,605, 포함 ,3억,-선택사항- ,-선택사항-     ,5000,30000,35,605,0,38,30000,605,116,4.6,6.1,12.0,13560,13560,13560,1263,1130,930,6504,4908,2508,542,409,209,21,16,8,강동구
513,서울 강남구 서초동,380, 40 개, 25 개,1 대,6천 만원,490,40,합1억9500,-선택사항- ,-선택사항-     ,6000,19500,40,490,40,48,19500,530,133,1.4,1.7,2.4,19584,19584,19584,1824,1632,1344,13932,11628,8172,1161,969,681,71,59,41,강남구
514,서울 동작구 동작동,410, 24 개, 큰24 개,1 대,8천 만원,280,20,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,20,38,24000,300,80,4.1,5.1,7.8,9300,9300,9300,866,775,638,5832,4740,3096,486,395,258,24,19,12,동작구
515,서울 광진구 건대역,410, 42 개, 42 개,1 대,4천 만원,475,60,합3억3천,-선택사항- ,-선택사항-     ,4000,33000,42,475,60,39,33000,535,140,3.1,3.8,5.8,16704,16704,16704,1556,1392,1146,10572,8604,5652,881,717,471,32,26,17,광진구
516,서울 마포구 서교동,550, 50 개, 50 개,1 대,1억 만원,770,100,합4억3천,-선택사항- ,-선택사항-     ,10000,43000,50,770,100,40,43000,870,166,4.1,5.4,9.8,20400,20400,20400,1900,1700,1400,10368,7968,4368,864,664,364,24,18,10,마포구
