,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하,지역
71,서울 강서구 공항동,220, 31 개,  개,1 대,5000 만원,160,0,7천만,5호선 송정역,-선택사항-     ,5000,7000,31,160,0,34,7000,160,103,0.8,0.9,1.2,10740,10740,10740,1001,895,737,8856,7584,5688,738,632,474,126,108,81,강서구
72,서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0,38,27000,580,116,4.0,5.2,9.6,13560,13560,13560,1263,1130,930,6804,5208,2808,567,434,234,25,19,10,강동구
73,서울 구로구 00동,340, 40 개, 24 개,1 대,4000 만원,360, 별도 ,17000,-선택사항- ,-선택사항-     ,4000,17000,40,360,0,36,17000,360,133,1.6,1.9,2.8,14688,14688,14688,1368,1224,1007,10500,8772,6168,875,731,514,61,51,36,구로구
74,서울 성북구 월곡동,264.4, 42 개, 2 개,2 대,4000 만원,200, 없슴 ,9000,-선택사항- ,-선택사항-     ,4000,9000,42,200,0,37,9000,200,140,0.7,0.8,1.0,15840,15840,15840,1476,1320,1087,13632,11760,8964,1136,980,747,151,130,99,성북구
75,서울 용산구 00동,561, 50 개,  개,1 대,500 만원,700,0,1억4천만,4호선 숙대입구역,서울 숙명여자대학교    ,500,14000,50,700,0,37,14000,700,166,1.3,1.7,2.7,18864,18864,18864,1757,1572,1295,10692,8472,5148,891,706,429,76,60,36,용산구
76,서울 금천구 00동,380,  개,  개,00 대,5000 만원,400,0,17000,-선택사항- ,-선택사항-     ,5000,17000,0,400,0,38,17000,400,100,2.4,3.0,4.8,11628,11628,11628,1083,969,798,6996,5628,3576,583,469,298,41,33,21,금천구
77,서울 노원구 00동,410, 40 개,  개,00 대,3000 만원,400,0,18000,-선택사항- ,-선택사항-     ,3000,18000,40,400,0,36,18000,400,133,1.8,2.2,3.2,14688,14688,14688,1368,1224,1007,10020,8292,5688,835,691,474,55,46,31,노원구
78,서울 종로구 숭인동,195, 20 개, 20 개,00 대,6천 만원,300, 별도 ,1억5천,-선택사항- ,-선택사항-     ,6000,15000,20,300,0,42,15000,300,66,2.9,3.6,5.6,8568,8568,8568,798,714,588,5184,4176,2664,432,348,222,34,27,17,종로구
79,서울 서대문구 창천동,238.78, 37 개, 37 개,00 대,3천6백 만원,495, 무 ,2억,-선택사항- ,-선택사항-     ,3600,20000,37,495,0,39,20000,495,123,2.2,2.7,4.3,14712,14712,14712,1370,1226,1010,9024,7296,4704,752,608,392,45,36,23,서대문구
80,서울 서초구 00동,403.3, 50 개,  개,00 대,8500 만원,540,50,23,-선택사항- ,-선택사항-     ,8500,23000,50,540,50,45,23000,590,166,1.4,1.7,2.3,22944,22944,22944,2137,1912,1575,16572,13872,9828,1381,1156,819,72,60,42,서초구
81,서울 영등포구 영등포동,390, 40 개, 13 개,1 대,2500 만원,190,30,합1억7500,-선택사항- ,-선택사항-     ,2500,17500,40,190,30,38,17500,220,133,1.3,1.6,2.1,15504,15504,15504,1444,1292,1064,13092,11268,8532,1091,939,711,74,64,48,영등포구
82,서울 동작구 노량진동,420, 큰24 개, 원24 개,1 대,8천 만원,280,30,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,30,38,24000,310,80,4.2,5.2,8.1,9300,9300,9300,866,775,638,5712,4620,2976,476,385,248,23,19,12,동작구
