순번,지역,주소,인근 지하철,고시원명,빈방,총 방갯수,월세,식사 제공,주차 제공,남녀 구분,층 분리,공실률,,,지역 평균 공실률,
42,구로구,서울 구로구 경인로40길 11,1호선 개봉역,솔고시원,9,30,월세  26~35,Y,2,공용,N,30.00%,,,,
43,종로구,서울 종로구 창경궁로 235,4호선 혜화역,스타원룸텔,0,35,월세  43~55,Y,N,공용,Y,0.00%,,,,
44,노원구,서울 노원구 광운로19가길 24,1호선 광운대역,성북화이트빌,0,47,월세  25~50,Y,8,공용,N,0.00%,,,,
45,중구,서울 중구 퇴계로 463,2호선 신당역,힐리빙텔,0,39,월세  24~50,Y,N,공용,N,0.00%,,,,
46,동작구,서울 동작구 상도로37길65 ,7호선 숭실대입구역,소호리빙텔 숭실중앙대점,0,30,월세  18~27,Y,N,공용,Y,0.00%,,,,
47,관악구,서울 관악구 난곡로 347,2호선 신대방역,벤처원룸텔,1,20,월세  25~40,Y,1,공용,N,5.00%,,,,
48,영등포구,서울 영등포구 영신로38길 18,5호선 영등포시장역,탑레지던스 영등포점,0,45,월세  30~50,Y,N,공용,N,0.00%,,,,
49,서대문구,서울 서대문구 연세로7길 25,2호선 신촌역,하늘원룸텔,0,32,월세  40~70,Y,N,공용,N,0.00%,,,,
50,영등포구,서울 영등포구 영신로38길 15,5호선 영등포시장역,마이홈원룸텔 영등포중앙점,0,39,월세  30~65,Y,N,공용,Y,0.00%,,,,
51,성북구,서울 성북구 동소문로17길 1,4호선 성신여대입구역,조이고시텔,0,40,월세  18~25,Y,N,공용,N,0.00%,,,,
52,광진구,서울 광진구 광나루로12길 19,7호선 어린이대공원역,한마음고시원,0,40,월세  18~40,Y,3,공용,Y,0.00%,,,,
53,노원구,서울 노원구 화랑로 455,6호선 태릉입구역,노블큐Q고시텔,1,36,월세  36~60,Y,N,공용,N,2.78%,,,,
54,노원구,서울 노원구 동일로198길 78,7호선 공릉역,스토리하우스 과학기술대점,1,40,월세  25~45,Y,3,공용,Y,2.50%,,,,
55,광진구,서울 광진구 아차산로 383,2호선 구의역,더레지던스 구의,0,33,월세  40~45,Y,N,공용,N,0.00%,,,,
56,중구,서울 중구 다산로33가길 23,5호선 청구역,하이리빙텔 신당역점,1,40,월세  32~40,Y,N,공용,N,2.50%,,,,
57,동작구,서울 동작구 상도로31길 83,7호선 상도역,코쿤하우스 노량진점,0,40,월세  38~43,Y,N,공용,N,0.00%,,,,
58,서대문구,서울 서대문구 연세로9길 19,2호선 신촌역,더블유 W하우스,0,30,월세  40~50,Y,N,공용,Y,0.00%,,,,
59,은평구,서울 은평구 서오릉로 112,6호선 구산역,한우리고시텔,0,40,월세  21~25,Y,N,공용,N,0.00%,,,,
60,송파구,서울 송파구 위례성대로20길 22,5호선 방이역,한우리고시텔,0,60,월세  18~25,Y,N,공용,N,0.00%,,,,
61,서대문구,서울 서대문구 연세로7안길 21,2호선 신촌역,휴레지던스 신촌점,1,32,월세  25~60,Y,2,공용,Y,3.13%,,,,
62,양천구,서울 양천구 오목로 203,5호선 신정역,한우리고시원,1,55,월세  18~26,Y,6,공용,N,1.82%,,,,
63,영등포구,서울 영등포구 양평로12길 7,2호선 당산역,더하우스 원룸텔 당산점,0,40,월세  41~70,Y,N,공용,N,0.00%,,,,
64,영등포구,서울 영등포구 양평로12가길 5,2호선 당산역,게스트하우스 당산점,1,48,월세  30~50,Y,N,공용,Y,2.08%,,,,
65,강남구,서울 강남구 역삼로5길 5,2호선 강남역,라임하우스원룸텔 강남역점,0,50,월세  35~50,Y,N,공용,Y,0.00%,,,,
66,마포구,서울 마포구 홍익로2길 23,2호선 홍대입구역,윤희고시텔,0,80,월세  40~50,Y,N,공용,Y,0.00%,,,,
67,구로구,서울 구로구 시흥대로163길 15,2호선 구로디지털단지역,아이게스트하우스,1,32,월세  26~36,Y,2,공용,N,3.13%,,,,
68,광진구,서울 광진구 광나루로 436,7호선 어린이대공원역,바롬고시텔,0,45,월세  25~30,Y,N,공용,Y,0.00%,,,,
69,노원구,서울 노원구 화랑로45길 8,1호선 석계역,마이하우스,1,26,월세  45~65,Y,5,공용,N,3.85%,,,,
70,구로구,서울 구로구 구로동로26길 81,7호선 남구로역,홈리빙텔,0,30,월세  20~50,Y,N,공용,N,0.00%,,,,
71,성동구,서울 성동구 왕십리로 284-1,2호선 왕십리역,코지리빙텔 한양대점,1,30,월세  30~41,Y,3,공용,Y,3.33%,,,,
72,종로구,서울 종로구 난계로 243,1호선 신설동역,아일랜드레지던스,0,38,월세  35~40,Y,N,공용,Y,0.00%,,,,
73,서초구,서울 서초구 동산로2길 11 ,신분당선 양재시민의숲역,노블레지던스 양재점,0,42,월세  30~48,Y,N,공용,Y,0.00%,,,,
74,송파구,서울 송파구 송파대로22길 4-11,8호선 문정역,문정원룸고시텔,1,25,월세  33~45,Y,N,공용,N,4.00%,,,,
75,종로구,서울 종로구 대학로11길 38-3,4호선 혜화역,오투원룸텔 대학로점,1,26,월세  25~31,Y,N,공용,Y,3.85%,,,,
76,서초구,서울 서초구 마방로10길 22,신분당선 양재시민의숲역,아인캐슬,0,30,월세  37~45,Y,2,공용,N,0.00%,,,,
77,강남구,서울 강남구 논현로64길 14,3호선 매봉역,리빙웰,9,32,월세  42~55,Y,3,공용,N,28.13%,,,,
78,광진구,서울 광진구 능동로19길 36,7호선 어린이대공원역,이삭고시원 어린이대공원역점,0,35,월세  10~26,Y,1,공용,N,0.00%,,,,
79,성동구,서울 성동구 동일로 135-1,2호선 건대입구역,싱글하우스 건대성수점,0,60,월세  15~50,Y,N,공용,Y,0.00%,,,,
80,광진구,서울 광진구 군자로 49,7호선 어린이대공원역,웰빙텔,0,39,월세  15~50,Y,2,공용,Y,0.00%,,,,
81,종로구,서울 종로구 자하문로1가길 5,3호선 경복궁역,리빙캐슬 광화문점,0,39,월세  33~50,Y,2,공용,N,0.00%,,,,
82,서대문구,서울 서대문구 경기대로 63,5호선 서대문역,장원고시원,0,24,월세  23~25,Y,N,공용,Y,0.00%,,,,
83,중구,서울 중구 장충단로7길 35,3호선 동대입구역,메르디앙 리빙텔,1,60,월세  20~60,Y,4,공용,N,1.67%,,,,
84,동작구,서울 동작구 장승배기로15길 16,7호선 장승배기역,소호빌리지,0,80,월세  27~37,Y,10,공용,Y,0.00%,,,,
85,영등포구,서울 영등포구 신길로 200-20,1호선 영등포역,플러스하우스,1,38,월세  22~40,Y,4,공용,Y,2.63%,,,,
86,영등포구,서울 영등포구 도신로 228,1호선 신길역,아이원고시텔,0,30,월세  25~50,Y,N,공용,N,0.00%,,,,
87,강북구,서울 강북구 삼양로 258,우이신설선 삼양역,오투리빙텔 미아점,0,69,월세  28~45,Y,N,공용,N,0.00%,,,,
88,종로구,서울 종로구 종로 346,1호선 동묘앞역,파인하우스 동묘점,0,51,월세  30~45,Y,N,공용,N,0.00%,,,,
89,종로구,서울 종로구 종로44길 21,1호선 동대문역,웰빙텔,0,30,월세  33~50,Y,N,공용,N,0.00%,,,,
90,마포구,서울 마포구 신촌로 220,2호선 이대역,스토리하우스 이대점,0,53,월세  30~45,Y,N,공용,N,0.00%,,,,
91,구로구,서울 구로구 시흥대로163길 15,2호선 구로디지털단지역,라임하우스 구로디지탈단지점,0,35,월세  30~45,Y,N,공용,N,0.00%,,,,
92,마포구,서울 마포구 양화로 99,2호선 합정역,영빈고시원,1,31,월세  20~30,Y,N,공용,N,3.23%,,,,
93,동작구,서울 동작구 흑석로 2,7호선 상도역,규장각 여성전용고시텔,0,18,월세  45~45,Y,1,여성전용,N,0.00%,,,,
94,서초구,서울 서초구 효령로31길 32,2호선 방배역,삼성원룸텔,0,48,월세  21~50,Y,2,공용,Y,0.00%,,,,
95,관악구,서울 관악구 남부순환로 1870,2호선 서울대입구역,웰빙고시원,0,30,월세  23~29,Y,N,공용,N,0.00%,,,,
96,광진구,서울 광진구 광나루로 378,7호선 어린이대공원역,블루힐하우스 원룸텔,0,16,월세  50~50,Y,N,공용,N,0.00%,,,,
97,강남구,서울 강남구 역삼로2길 15,2호선 강남역,코코레지던스 역삼점,0,51,월세  35~68,Y,2,공용,Y,0.00%,,,,
98,송파구,서울 송파구 올림픽로 587-1,8호선 강동구청역,2레지던스 천호점,0,22,월세  28~38,Y,4,공용,N,0.00%,,,,
99,강남구,서울 강남구 영동대로114길 10,9호선 봉은사역,더샵레지던스,0,31,월세  48~69,Y,2,공용,N,0.00%,,,,
100,영등포구,서울 영등포구 양산로 95,2호선 영등포구청역,심플하우스 영등포구청역점,4,32,월세  35~45,Y,N,공용,N,12.50%,,,,
101,마포구,서울 마포구 만리재옛길 22 ,5호선 공덕역,오투하우스,1,50,월세  30~55,Y,N,공용,Y,2.00%,,,,
102,마포구,서울 마포구 연희로 1길 30-5,2호선 홍대입구역,2030리빙텔,1,29,월세  27~36,Y,N,공용,N,3.45%,,,,
103,마포구,서울 마포구 효창목길 30,5호선 애오개역,힐하우스,0,48,월세  40~50,Y,6,여성전용,N,0.00%,,,,
104,서초구,서울 서초구 논현로169,3호선 매봉역,심플하우스 양재역점,1,38,월세  37~75,Y,5,공용,N,2.63%,,,,
105,서초구,서울 서초구 동산로 14,신분당선 양재시민의숲역,양재고시원,1,33,월세  24~33,Y,N,공용,N,3.03%,,,,
106,강남구,서울 강남구 테헤란로14길 43-1,2호선 역삼역,파인하우스 강남역삼점,0,63,월세  27~33,Y,N,공용,Y,0.00%,,,,
107,종로구,서울 종로구 동숭길 117,4호선 혜화역,코니하우스 대학로점,6,49,월세  28~45,Y,4,공용,Y,12.24%,,,,
108,광진구,서울 광진구 아차산로 382,2호선 구의역,하이리빙텔 구의역점,0,33,월세  30~40,Y,N,공용,N,0.00%,,,,
109,동대문구,서울 동대문구 망우로21길 52,1호선 회기역,시티고시텔,0,42,월세  25~33,Y,N,공용,N,0.00%,,,,
110,광진구,서울 광진구 동일로18길 78 ,2호선 건대입구역,멀티하우스,0,26,월세  28~38,Y,N,공용,N,0.00%,,,,
111,송파구,서울 송파구 동남로6길 20,8호선 문정역,학사원룸고시텔,1,28,월세  22~40,Y,2,공용,N,3.57%,,,,
112,송파구,서울 송파구 올림픽로32길 18,8호선 몽촌토성역,에코하우스,0,29,월세  40~50,Y,N,공용,N,0.00%,,,,
113,동작구,서울 동작구 등용로 84-1,1호선 대방역,태종고시텔,0,22,월세  35~55,Y,3,공용,Y,0.00%,,,,
114,성북구,서울 성북구 삼선교로10길 26,4호선 한성대입구역,싱글하우스 한성대점,8,29,월세  29~45,Y,N,공용,Y,27.59%,,,,
115,중랑구,서울 중랑구 면목로 371,7호선 면목역,소호리빙텔 면목점,1,28,월세  29~43,Y,1,공용,N,3.57%,,,,
116,동작구,서울 동작구 장승배기로 124 ,7호선 장승배기역,소호리빙텔 노량진점,0,30,월세  32~50,Y,N,공용,Y,0.00%,,,,
117,중구,서울 중구 세종대로14길 34,1호선 시청역,토브리빙텔,7,28,월세  35~45,Y,N,공용,N,25.00%,,,,
118,영등포구,서울 영등포구 영신로 32-4,1호선 영등포역,나혼자잔다 1호점,0,32,월세  30~38,Y,N,공용,Y,0.00%,,,,
119,영등포구,서울 영등포구 영신로20가길 5-6,1호선 영등포역,나혼자잔다 2호점,0,50,월세  37~38,Y,N,공용,Y,0.00%,,,,
120,마포구,서울 마포구 토정로35길 11,5호선 마포역,마포 원고시텔,10,49,월세  40~52,Y,N,공용,N,20.41%,,,,
121,동작구,서울 동작구 장승배기로135,7호선 장승배기역,리빙캐슬 노량진점,0,49,월세  29~50,Y,N,공용,Y,0.00%,,,,
122,종로구,서울 종로구 우정국로 43,1호선 종각역,종각레지던스,0,40,월세  45~58,Y,N,공용,N,0.00%,,,,
123,중구,서울 중구 다산로 128-14,3호선 약수역,라이프하우스 원룸텔,1,35,월세  40~65,Y,N,공용,N,2.86%,,,,
124,중구,서울 중구 을지로32길 33 ,2호선 을지로4가역,중구고시텔,1,50,월세  20~35,Y,N,공용,N,2.00%,,,,
125,성북구,서울 성북구 동소문로20길 29-12 4,4호선 성신여대입구역,원더하우스,1,25,월세  40~50,Y,N,여성전용,N,4.00%,,,,
126,서대문구,서울 서대문구 연세로9길 37,2호선 신촌역,연세오피스텔,0,27,월세  40~60,Y,30,공용,N,0.00%,,,,
127,중구,서울 중구 수표로2길 5,3호선 충무로역,화인리빙텔,0,56,월세  30~45,Y,N,공용,N,0.00%,,,,
128,동작구,서울 동작구 장승배기로24길 12,1호선 노량진역,스코프원룸고시텔,0,20,월세  35~40,Y,N,남성전용,N,0.00%,,,,
129,중구,서울 중구 퇴계로 247,3호선 충무로역,클래식 충무로 고시텔,0,65,월세  25~40,Y,N,공용,N,0.00%,,,,
130,종로구,서울 종로구 율곡로27길 7-3,1호선 동대문역,가사미아리빙텔,1,20,월세  28~45,Y,3,공용,Y,5.00%,,,,
131,중랑구,서울 중랑구 봉우재로57길 47,경춘선 망우역,코니하우스 상봉점,0,33,월세  32~42,Y,5,공용,N,0.00%,,,,
132,중랑구,서울 중랑구 용마산로 389,7호선 면목역,더블유 W하우스,0,30,월세  35~40,Y,2,공용,N,0.00%,,,,
133,종로구,서울 종로구 삼일대로15길 3,1호선 종각역,한솔고시텔,0,30,월세  22~35,Y,N,공용,Y,0.00%,,,,
134,중랑구,서울 중랑구 용마산로115길 71,경춘선 망우역,코코리빙텔 상봉점,1,49,월세  35~50,Y,9,공용,N,2.04%,,,,
135,중구,서울 중구 세종대로 72-1,1호선 시청역,삼성리빙텔 시청점,0,43,월세  40~70,Y,N,공용,Y,0.00%,,,,
136,강서구,서울 강서구 강서로56가길 59,5호선 발산역,한빛고시원,0,60,월세  23~33,Y,N,공용,N,0.00%,,,,
