순번,지역,주소,인근 지하철,고시원명,빈방,총 방갯수,월세,식사 제공,주차 제공,남녀 구분,층 분리,공실률,,,지역 평균 공실률,
468,동대문구,서울 동대문구 답십리로 9,1호선 청량리역,샘리빙텔 청량리역점,0,48,월세  25~50,Y,N,공용,N,0.00%,,,,
469,동대문구,서울 동대문구 무학로45길 20,6호선 안암역,훼미리고시텔,0,60,월세  25~35,Y,2,공용,Y,0.00%,,,,
470,동대문구,서울 동대문구 왕산로2길 34,1호선 신설동역,그린고시텔 신설동역점,0,39,월세  20~35,Y,2,공용,N,0.00%,,,,
471,금천구,서울 금천구 시흥대로376,1호선 독산역,심플하우스 독산점,0,35,월세  28~37,Y,4,공용,N,0.00%,,,,
472,동작구,서울 동작구 장승배기로 164,1호선 노량진역,메르디앙 리빙텔,4,34,월세  30~50,Y,1,여성전용,N,11.76%,,,,
473,동작구,서울 동작구 만양로12가길 70,9호선 노들역,에이스고시텔 노량진점,0,42,월세  45~55,Y,2,공용,Y,0.00%,,,,
474,동작구,서울 동작구 서달로8가길 9,9호선 흑석역,에이플러스리빙텔,0,30,월세  22~32,Y,N,공용,N,0.00%,,,,
475,서초구,서울 서초구 서초중앙로22길 77,2호선 교대역,타임하우스 교대점,0,33,월세  42~48,Y,N,공용,Y,0.00%,,,,
476,마포구,서울 마포구 서강로18길 15,경의중앙선 서강대역,수목레지던스,0,40,월세  45~58,Y,2,공용,N,0.00%,,,,
477,동작구,서울 동작구 상도로 136,7호선 장승배기역,수리빙텔 장승배기역점,0,45,월세  15~25,Y,N,공용,N,0.00%,,,,
478,동작구,서울 동작구 만양로13길 44 ,7호선 장승배기역,아모르빌 고시텔,1,24,월세  40~65,Y,3,공용,N,4.17%,,,,
479,종로구,서울 종로구 삼일대로 388-10,1호선 종로3가역,예그린하우스원룸텔,1,30,월세  42~60,Y,N,공용,Y,3.33%,,,,
480,동작구,서울 동작구 등용로 96,1호선 대방역,베스트하우스 대방점,0,50,월세  30~70,Y,N,공용,Y,0.00%,,,,
481,광진구,서울 광진구 자양로 254,5호선 아차산역,코코리빙텔 구의점,0,36,월세  20~50,Y,N,공용,N,0.00%,,,,
482,마포구,서울 마포구 만리재로 23,5호선 공덕역,웰빙고시텔,0,25,월세  24~35,Y,N,공용,N,0.00%,,,,
483,서대문구,서울 서대문구 증가로 223,6호선 증산역,더하우스,0,20,월세  35~48,Y,N,공용,N,0.00%,,,,
484,광진구,서울 광진구 군자로 73,7호선 어린이대공원역,쉐르빌고시텔,0,34,월세  22~32,Y,2,공용,N,0.00%,,,,
485,서대문구,서울 서대문구 연세로7안길 22 ,2호선 신촌역,웰빙텔 연대점,0,45,월세  18~60,Y,N,공용,N,0.00%,,,,
486,구로구,서울 구로구 개봉로24길 43-4,1호선 개봉역,개봉고시텔,0,39,월세  27~40,Y,5,공용,Y,0.00%,,,,
487,서초구,서울 서초구 서초대로64길 41-4,2호선 교대역,아이비하우스 강남점,0,25,월세  35~50,Y,1,여성전용,N,0.00%,,,,
488,서대문구,서울 서대문구 증가로 116,N,웰빙텔 명지대점,0,45,월세  35~40,Y,N,공용,N,0.00%,,,,
489,강서구,서울 강서구 강서로39길 17,5호선 화곡역,상록고시텔,1,36,월세  18~28,Y,30,공용,N,2.78%,,,,
490,강서구,서울 강서구 강서로 188,5호선 화곡역,보람고시원,1,38,월세  20~29,Y,5,남성전용,N,2.63%,,,,
491,성동구,서울 성동구 무학봉15길 22,2호선 상왕십리역,왕십리리빙텔 고시원,5,20,월세  35~47,Y,N,공용,N,25.00%,,,,
492,성동구,서울 성동구 왕십리로 284 ,2호선 왕십리역,해피하우스 한양대점,2,36,월세  38~51,Y,N,공용,N,5.56%,,,,
493,동작구,서울 동작구 동작대로7길 58,2호선 사당역,갤러리하우스,0,30,월세  30~50,Y,10,공용,N,0.00%,,,,
494,성북구,서울 성북구 동소문로20길 37-13,4호선 성신여대입구역,예인하우스 여성전용,0,27,월세  22~28,Y,N,여성전용,N,0.00%,,,,
495,강서구,서울 강서구 곰달래로53길 19,5호선 목동역,심플하우스 ,0,26,월세  34~39,Y,2,공용,N,0.00%,,,,
496,강서구,서울 강서구 강서로 143,5호선 화곡역,학사고시텔,0,47,월세  20~28,Y,N,공용,N,0.00%,,,,
497,송파구,서울 송파구 백제고분로48길 10,9호선 송파나루역,모림고시텔,0,40,월세  35~45,Y,3,공용,Y,0.00%,,,,
498,구로구,서울 구로구 경인로23길 8,1호선 오류동역,노블레지던스 오류동점,0,39,월세  35~45,Y,N,공용,N,0.00%,,,,
499,광진구,서울 광진구 아차산로 214,2호선 건대입구역,휴먼빌 여성전용고시텔,0,56,월세  25~40,Y,N,공용,N,0.00%,,,,
500,강서구,서울 강서구 화곡로 318-1,N,우장산고시텔,0,36,월세  28~40,Y,N,공용,N,0.00%,,,,
501,금천구,서울 금천구 범안로12길 14,1호선 독산역,쉐르빌고시텔,0,45,월세  25~40,Y,N,공용,N,0.00%,,,,
502,금천구,서울 금천구 가산로 124,N,래미안고시텔,0,35,월세  21~32,Y,N,공용,Y,0.00%,,,,
503,관악구,서울 관악구 시흥대로 526,2호선 구로디지털단지역,멀티하우스 구로디지털점,1,39,월세  28~45,Y,3,공용,N,2.56%,,,,
504,서초구,서울 서초구 도구로9길 32,4호선 총신대입구(이수)역,지성고시원,0,38,월세  17~35,Y,N,공용,N,0.00%,,,,
505,마포구,서울 마포구 월드컵북로30길 36-1,경의중앙선 가좌역,이젠프리텔,0,33,월세  38~45,Y,5,공용,N,0.00%,,,,
506,동대문구,서울 동대문구 고산자로 441,1호선 제기동역,풀하우스 제기동역점,0,32,월세  33~60,Y,N,공용,N,0.00%,,,,
507,양천구,서울 양천구 등촌로 224,9호선 등촌역,등촌원룸텔,1,46,월세  20~30,Y,5,공용,N,2.17%,,,,
508,양천구,서울 양천구 곰달래로5길 81,N,라온원룸텔,0,38,월세  50~50,Y,5,공용,N,0.00%,,,,
509,관악구,서울 관악구 봉천로 269,2호선 신림역,그린리빙텔,0,40,월세  15~28,Y,2,공용,N,0.00%,,,,
510,양천구,서울 양천구 오목로 194,5호선 신정역,목동블루빌레지던스,0,35,월세  36~43,Y,N,공용,N,0.00%,,,,
511,양천구,서울 양천구 신정중앙로 62,5호선 신정역,보보레지던스 목동점,0,35,월세  25~50,Y,2,공용,Y,0.00%,,,,
512,관악구,서울 관악구 신림로 382,2호선 신림역,쉐르빌리빙텔 여성전용,1,38,월세  24~33,Y,7,여성전용,N,2.63%,,,,
513,영등포구,서울 영등포구 대림로 123,2호선 대림역,자이리빙텔,0,40,월세  27~55,Y,N,공용,N,0.00%,,,,
514,영등포구,서울 영등포구 영등포로 220-1,5호선 영등포시장역,니오빌원룸텔,0,30,월세  40~47,Y,2,공용,N,0.00%,,,,
515,관악구,서울 관악구 관악로17길 32,2호선 서울대입구역,웰빙텔 서울대점,0,46,월세  28~48,Y,2,공용,N,0.00%,,,,
516,관악구,서울 관악구 남부순환로 1766,2호선 봉천역,준고시텔,0,40,월세  18~24,Y,N,공용,N,0.00%,,,,
517,용산구,서울 용산구 원효로56길 3,6호선 효창공원앞역,이e리빙텔,0,35,월세  28~40,Y,N,공용,N,0.00%,,,,
518,도봉구,서울 도봉구 노해로63길 79,1호선 창동역,좋은원룸텔,0,35,월세  35~45,Y,N,공용,N,0.00%,,,,
519,영등포구,서울 영등포구 영등포로 248,1호선 영등포역,싱글하우스 영등포점,0,35,월세  26~30,Y,N,공용,N,0.00%,,,,
520,송파구,서울 송파구 가락로 258 ,9호선 송파나루역,늘푸른원룸텔 방이점,1,54,월세  25~50,Y,5,공용,N,1.85%,,,,
521,송파구,서울 송파구 가락로 248  ,9호선 송파나루역,벧엘고시원,0,50,월세  22~30,Y,N,공용,Y,0.00%,,,,
522,송파구,서울 송파구 오금로35길 47,5호선 방이역,더레지던스원룸텔,0,50,월세  45~50,Y,3,공용,N,0.00%,,,,
523,관악구,서울 관악구 청룡2길 29,2호선 봉천역,하나고시원,1,60,월세  18~25,Y,N,공용,N,1.67%,,,,
524,은평구,서울 은평구 수색로 285 ,경의중앙선 수색역,청아리빙텔,1,31,월세  45~45,Y,2,공용,N,3.23%,,,,
525,관악구,서울 관악구 신사로 86,2호선 신대방역,아이원고시텔,4,33,월세  25~30,Y,N,공용,N,12.12%,,,,
526,관악구,서울 관악구 봉천로 226,2호선 신림역,신성고시텔,0,35,월세  22~27,Y,10,공용,N,0.00%,,,,
527,영등포구,서울 영등포구 시흥대로185길 9 ,2호선 신대방역,모브리빙텔,0,17,월세  33~45,Y,N,공용,N,0.00%,,,,
528,중구,서울 중구 마른내로 159-4,2호선 동대문역사문화공원역,마이홈레지던스,0,40,월세  29~40,Y,N,공용,Y,0.00%,,,,
529,중구,서울 중구 퇴계로20길 36,4호선 명동역,명동코아텔,1,41,월세  30~40,Y,N,공용,Y,2.44%,,,,
530,중구,서울 중구 퇴계로88가길 14,2호선 신당역,한스빌리지,0,20,월세  40~50,Y,N,공용,N,0.00%,,,,
531,중구,서울 중구 퇴계로12길 39-20,4호선 회현역,클린원룸텔,0,30,월세  40~50,Y,N,공용,Y,0.00%,,,,
532,중구,서울 중구 퇴계로51길 20,2호선 을지로4가역,힐리빙텔 동대문역사문화공원역점,0,46,월세  30~45,Y,N,공용,N,0.00%,,,,
533,중구,서울 중구 충무로 20,3호선 충무로역,마이홈리빙텔 충무로점,0,33,월세  30~40,Y,N,공용,N,0.00%,,,,
534,중구,서울 중구 퇴계로 198,3호선 충무로역,그린하우스 충무로점,1,36,월세  32~55,Y,N,여성전용,N,2.78%,,,,
535,송파구,서울 송파구 오금로11길 29-7,8호선 몽촌토성역,힐리빙텔 잠실역점,0,37,월세  33~45,Y,N,공용,Y,0.00%,,,,
536,송파구,서울 송파구 오금로13길 14,9호선 송파나루역,토마토원룸텔 잠실역점,1,45,월세  35~50,Y,2,공용,Y,2.22%,,,,
537,노원구,서울 노원구 상계로104,4호선 노원역,이노리빙텔 노원역점,1,39,월세  20~42,Y,N,공용,N,2.56%,,,,
538,중구,서울 중구 을지로 103-1,2호선 을지로3가역,갤럭시원룸텔,0,39,월세  40~60,Y,N,공용,Y,0.00%,,,,
539,중구,서울 중구 퇴계로20길 40,4호선 명동역,해피홈리빙텔,0,60,월세  30~50,Y,2,공용,Y,0.00%,,,,
540,중랑구,서울 중랑구 면목로 452 ,7호선 면목역,베스트빌,0,20,월세  30~40,Y,N,공용,N,0.00%,,,,
541,중구,서울 중구 퇴계로87길 15-17,2호선 신당역,꿈엔들 여성전용고시텔,0,25,월세  42~42,Y,N,여성전용,N,0.00%,,,,
542,서초구,서울 서초구 강남대로6길 23,신분당선 양재시민의숲역,코지웰빙텔  양재역점,1,27,월세  38~40,Y,2,공용,N,3.70%,,,,
543,종로구,서울 종로구 종로67길 3-8,1호선 신설동역,황토방원룸텔,1,35,월세  40~50,Y,3,공용,N,2.86%,,,,
544,서초구,서울 서초구 나루터로12길 7 ,3호선 신사역,리빙캐슬 신사점,0,40,월세  32~48,Y,N,공용,Y,0.00%,,,,
545,성동구,서울 성동구 동일로 97 ,2호선 건대입구역,풀하우스고시텔,0,49,월세  35~48,Y,N,공용,Y,0.00%,,,,
546,종로구,서울 종로구 삼일대로20길 13,1호선 종로3가역,화인레지던스,0,30,월세  36~45,Y,N,공용,Y,0.00%,,,,
547,종로구,서울 종로구 이화장길 78,4호선 혜화역,쉐르빌리빙텔 대학로점,0,42,월세  25~39,Y,N,공용,Y,0.00%,,,,
548,종로구,서울 종로구 성균관로 13 ,4호선 혜화역,라임하우스,0,20,월세  30~40,Y,N,공용,N,0.00%,,,,
549,은평구,서울 은평구 연서로 320,6호선 독바위역,원고시텔,0,30,월세  28~45,Y,N,공용,N,0.00%,,,,
550,서초구,서울 서초구 강남대로6길 108-4 ,신분당선 양재시민의숲역,매헌역원룸텔 염곡사거리점,0,30,월세  40~60,Y,N,공용,N,0.00%,,,,
551,중구,서울 중구 을지로27길 32-8,2호선 을지로4가역,다솔베르크 원룸텔,0,55,월세  30~50,Y,N,공용,Y,0.00%,,,,
552,중랑구,서울 중랑구 동일로 865,7호선 먹골역,비젼원룸텔,0,29,월세  35~45,Y,N,공용,N,0.00%,,,,
553,중랑구,서울 중랑구 동일로109길 55,경의중앙선 중랑역,삼성고시원,0,34,월세  20~32,Y,N,공용,N,0.00%,,,,
554,관악구,서울 관악구 남부순환로188길 9,2호선 신림역,하이리빙고시텔,0,39,월세  28~32,Y,N,공용,N,0.00%,,,,
555,동대문구,서울 동대문구 경희대로1길 37,1호선 회기역,성지고시텔,0,90,월세  35~45,Y,3,공용,N,0.00%,,,,
556,관악구,서울 관악구 남부순환로 1621,2호선 신림역,네스트원룸텔 신림역점,1,35,월세  35~40,Y,N,공용,N,2.86%,,,,
557,강동구,서울 강동구 올림픽로 763,8호선 암사역,그린홈원룸텔,1,32,월세  28~35,Y,2,공용,N,3.13%,,,,
558,강동구,서울 강동구 양재대로114길 47,5호선 길동역,리치하우스원룸텔,0,29,월세  28~55,Y,N,공용,N,0.00%,,,,
559,강동구,서울 강동구 양재대로 1549,5호선 굽은다리역,프라임하우스,3,35,월세  45~60,Y,6,공용,N,8.57%,,,,
560,강동구,서울 강동구 양재대로112길 16,5호선 길동역,에덴고시텔 ,0,30,월세  18~26,Y,5,공용,Y,0.00%,,,,
561,노원구,서울 노원구 공릉로 195,7호선 공릉역,리치하우스 공릉역점,6,29,월세  27~43,Y,N,공용,Y,20.69%,,,,
562,노원구,서울 노원구 공릉로51길 14-2,7호선 공릉역,우림고시원,0,43,월세  14~21,Y,10,공용,N,0.00%,,,,
563,강동구,서울 강동구 양재대로89길 24,5호선 둔촌동역,코코레지던스 둔촌역점 ,0,40,월세  30~45,Y,6,공용,N,0.00%,,,,
564,강동구,서울 강동구 양재대로 1496,5호선 길동역,마이빌고시텔 길동역점,1,33,월세  23~28,Y,3,공용,N,3.03%,,,,
565,강동구,서울 강동구 양재대로111길 15,5호선 길동역,탑레지던스 길동역점,0,30,월세  35~50,Y,N,공용,N,0.00%,,,,
566,강동구,서울 강동구 양재대로89가길 42,5호선 둔촌동역,파브원룸텔 ,0,35,월세  30~60,Y,N,공용,N,0.00%,,,,
567,종로구,서울 종로구 창경궁로227,4호선 혜화역,씨엘하우스 대학로점,1,30,월세  35~40,Y,N,공용,N,3.33%,,,,
568,강동구,서울 강동구 천호대로176길 32,5호선 강동역,싱글하우스 성내점,0,35,월세  40~50,Y,N,공용,N,0.00%,,,,
569,서초구,서울 서초구 사평대로57길 100,7호선 논현역,동진고시텔,1,27,월세  38~50,Y,N,공용,N,3.70%,,,,
570,강남구,서울 강남구 역삼로11길 10,2호선 강남역,역삼레지던스,0,30,월세  28~40,Y,2,공용,N,0.00%,,,,
571,중구,서울 중구 필동로 46,3호선 충무로역,힐스테이원룸텔,0,40,월세  38~60,Y,2,공용,N,0.00%,,,,
572,중구,서울 중구 삼일대로4길 2,4호선 명동역,명동게스트원룸텔,0,37,월세  45~60,Y,N,공용,N,0.00%,,,,
573,중구,서울 중구 동호로 260,3호선 동대입구역,해피하우스 동국대점,0,25,월세  40~50,Y,N,공용,Y,0.00%,,,,
574,강남구,서울 강남구 선릉로 14길 7,분당선 구룡역,보보레지던스 개포점,0,40,월세  30~48,Y,N,공용,N,0.00%,,,,
575,강동구,서울 강동구 진황도로47길 74,5호선 길동역,강동게스트원룸텔,0,40,월세  35~50,Y,N,공용,N,0.00%,,,,
576,강남구,서울 강남구 논현로77길 7,2호선 역삼역,런던하우스 역삼역점,0,29,월세  45~65,Y,N,공용,Y,0.00%,,,,
577,영등포구,서울 영등포구 영신로19길 5-3,1호선 영등포역,멀티하우스 영등포점,0,28,월세  40~40,Y,2,공용,Y,0.00%,,,,
578,금천구,서울 금천구 가산로 142,1호선 가산디지털단지역,리더스고시텔,0,56,월세  18~30,Y,2,공용,N,0.00%,,,,
579,성북구,서울 성북구 동소문로27길 1,4호선 성신여대입구역,산호웰빙텔,0,36,월세  26~45,Y,N,공용,Y,0.00%,,,,
580,성북구,서울 성북구 동소문로20길 28-4 ,4호선 성신여대입구역,소호원룸텔 성신여대점,0,40,월세  20~55,Y,N,공용,Y,0.00%,,,,
581,금천구,서울 금천구 범안로16길 7,1호선 독산역,로뎀빌리빙텔,0,35,월세  25~40,Y,2,공용,N,0.00%,,,,
582,종로구,서울 종로구 청계천로 189-1,2호선 을지로4가역,청계하우스,0,19,월세  50~70,Y,N,공용,N,0.00%,,,,
583,금천구,서울 금천구 가산로 152,1호선 가산디지털단지역,래미안리빙텔,0,18,월세  21~38,Y,3,공용,N,0.00%,,,,
584,중구,서울 중구 서소문로6길 46,2호선 충정로역,학림학사,0,40,월세  35~43,Y,N,공용,Y,0.00%,,,,
585,노원구,서울 노원구 광운로 37-1,1호선 광운대역,한마음고시원,0,57,월세  20~27,Y,N,공용,N,0.00%,,,,
586,마포구,서울 마포구 독막로7길 56,6호선 상수역,홍대파인하우스,14,43,월세  20~55,Y,N,공용,Y,32.56%,,,,
587,노원구,서울 노원구 상계로1길 38-11,4호선 노원역,휴먼원룸텔,1,55,월세  28~60,Y,10,공용,N,1.82%,,,,
588,노원구,서울 노원구 상계로 75,4호선 노원역,엘린하우스 노원역점,1,26,월세  33~45,Y,3,공용,N,3.85%,,,,
589,노원구,서울 노원구 동일로192길 58,7호선 공릉역,푸른고시원,1,42,월세  20~25,Y,N,공용,Y,2.38%,,,,
590,도봉구,서울 도봉구 마들로11가길 15,1호선 창동역,모던리빙텔 창동역점,0,30,월세  30~55,Y,N,공용,N,0.00%,,,,
591,서초구,서울 서초구 반포대로26길 48 ,2호선 교대역,허브하우스 교대역점,1,45,월세  35~50,Y,3,공용,Y,2.22%,,,,
592,강북구,서울 강북구 월계로7나길 4,4호선 미아사거리역,싱글하우스고시텔 미아삼거리역점,0,30,월세  22~38,Y,3,공용,N,0.00%,,,,
593,성동구,서울 성동구 행당로11길 8,5호선 행당역,웰컴리빙텔,1,44,월세  40~45,Y,N,공용,Y,2.27%,,,,
594,강북구,서울 강북구 노해로 13,4호선 수유역,동명고시텔,0,52,월세  20~28,Y,N,공용,N,0.00%,,,,
595,서초구,서울 서초구 반포대로26길 41,2호선 서초역,예그린하우스 교대역점,1,32,월세  40~65,Y,1,공용,N,3.13%,,,,
596,강북구,서울 강북구 도봉로 284-9,4호선 수유역,코지하우스,0,22,월세  40~55,Y,N,공용,N,0.00%,,,,
597,강북구,서울 강북구 도봉로 377,4호선 수유역,강북고시원,0,68,월세  20~30,Y,N,공용,N,0.00%,,,,
598,동대문구,서울 동대문구 안암로 120,6호선 안암역,아인하우스,0,13,월세  35~52,Y,N,여성전용,N,0.00%,,,,
599,강남구,서울 강남구 봉은사로33길 10,9호선 언주역,좋은리빙텔 언주역점,0,42,월세  27~45,Y,N,공용,N,0.00%,,,,
600,동대문구,서울 동대문구 고산자로 455,1호선 제기동역,심플하우스 제기역점,1,53,월세  35~60,Y,N,공용,N,1.89%,,,,
601,동대문구,서울 동대문구 장한로26가길 69,5호선 장한평역,에델하임원룸텔,1,27,월세  40~40,Y,N,공용,N,3.70%,,,,
602,양천구,서울 양천구 오목로206,5호선 신정역,목동클래식리빙텔,0,32,월세  28~50,Y,2,공용,N,0.00%,,,,
603,구로구,서울 구로구 구로중앙로 217,1호선 구로역,스카이리빙텔,0,50,월세  25~40,Y,5,공용,N,0.00%,,,,
604,동대문구,서울 동대문구 전농로38길 89,1호선 회기역,뉴인터넷고시원,0,32,월세  20~30,Y,N,공용,N,0.00%,,,,
605,동대문구,서울 동대문구 이문로 186,1호선 신이문역,아트원룸텔 이문점,1,28,월세  35~45,Y,N,공용,N,3.57%,,,,
606,동대문구,서울 동대문구 전농로37길 78,1호선 청량리역,꿈에그린고시텔,0,33,월세  25~35,Y,N,공용,N,0.00%,,,,
607,동대문구,서울 동대문구 서울시립대로 160,1호선 회기역,시대고시원,0,80,월세  20~28,Y,N,공용,Y,0.00%,,,,
608,동대문구,서울 동대문구 회기로8길 11,6호선 고려대역,에꼴리빙텔,0,16,월세  32~35,Y,N,공용,N,0.00%,,,,
609,영등포구,서울 영등포구 영등포로36길 3,5호선 영등포시장역,싱글레지던스 영등포점,4,50,월세  25~40,Y,N,공용,Y,8.00%,,,,
610,강서구,서울 강서구 강서로7길 20,2호선 까치산역,하이원리빙텔,0,36,월세  30~48,Y,N,공용,N,0.00%,,,,
611,종로구,서울 종로구 삼일대로20길 20,1호선 종로3가역,엘리트레지던스,1,42,월세  35~60,Y,N,공용,Y,2.38%,,,,
612,영등포구,서울 영등포구 영등포로 248 ,1호선 영등포역,아띠스위트 원룸텔,6,37,월세  39~70,Y,N,공용,N,16.22%,,,,
613,영등포구,서울 영등포구 도림천로11길 24 ,2호선 대림역,중앙리빙텔,0,35,월세  26~38,Y,N,공용,Y,0.00%,,,,
614,중구,서울 중구 청파로 439,경의중앙선 서울역 (경의중앙선 ),종로고시텔,0,70,월세  30~50,Y,N,공용,Y,0.00%,,,,
615,영등포구,서울 영등포구 버드나루로 48,5호선 영등포시장역,라이프하우스 원룸텔,1,35,월세  30~45,Y,N,공용,N,2.86%,,,,
616,영등포구,서울 영등포구 국회대로37길 5,2호선 영등포구청역,리빙하우스,1,43,월세  30~66,Y,2,공용,Y,2.33%,,,,
617,서초구,서울 서초구 사임당로 78,3호선 남부터미널역,교대엘리트원룸텔,0,31,월세  35~65,Y,N,공용,Y,0.00%,,,,
618,서초구,서울 서초구 서운로 164,2호선 강남역,소호리빙텔 강남점,1,36,월세  30~55,Y,N,공용,N,2.78%,,,,
619,강남구,서울 강남구 논현로175길 68,3호선 압구정역,코쿤하우스 압구정점,1,28,월세  38~53,Y,4,공용,N,3.57%,,,,
620,영등포구,서울 영등포구 신풍로19가길 7,7호선 보라매역,늘푸른고시원,0,40,월세  15~35,Y,2,공용,Y,0.00%,,,,
621,영등포구,서울 영등포구 영중로20길 3,5호선 영등포시장역,희망고시텔,0,26,월세  35~35,Y,N,남성전용,N,0.00%,,,,
622,송파구,서울 송파구 백제고분로7길 46-34,2호선 잠실새내역,잠실다온빌,0,14,월세  70~70,Y,3,공용,N,0.00%,,,,
623,송파구,서울 송파구 송파대로30길 23,3호선 가락시장역,심플하우스 가락시장역점,1,40,월세  37~55,Y,4,공용,N,2.50%,,,,
624,마포구,서울 마포구 와우산로27길 56,2호선 홍대입구역,홍아트빌 여성전용,1,58,월세  38~55,Y,N,여성전용,N,1.72%,,,,
625,송파구,서울 송파구 올림픽로 509,8호선 강동구청역,비바레지던스,0,35,월세  37~60,Y,5,공용,N,0.00%,,,,
626,영등포구,서울 영등포구 영등포로72길 3 ,1호선 신길역,새롬하우스 대방점,1,28,월세  35~43,Y,N,공용,N,3.57%,,,,
627,성북구,서울 성북구 화랑로 275 ,6호선 돌곶이역,에이플러스 원룸텔,1,44,월세  20~38,Y,20,공용,N,2.27%,,,,
628,강동구,서울 강동구 양재대로138길 20,5호선 명일역,럭셔리고시텔,0,42,월세  18~24,Y,40,공용,N,0.00%,,,,
629,성북구,서울 성북구 솔샘로7길 24,우이신설선 북한산보국문역,상록고시원,0,30,월세  29~34,Y,5,공용,Y,0.00%,,,,
630,송파구,서울 송파구 가락로84,8호선 석촌역,인재고시텔,0,42,월세  18~27,Y,N,공용,N,0.00%,,,,
631,송파구,서울 송파구 오금로15길 16,9호선 송파나루역,랜트하우스,0,26,월세  50~80,Y,5,공용,N,0.00%,,,,
632,영등포구,서울 영등포구 도림로 153,2호선 대림역,산호레지던스 대림점,0,40,월세  29~39,Y,N,공용,N,0.00%,,,,
633,서초구,서울 서초구 반포대로19길 9-7,2호선 서초역,서초고시텔,0,16,월세  40~50,Y,2,공용,N,0.00%,,,,
634,영등포구,서울 영등포구 도영로7길 14,1호선 신도림역,캐슬리빙텔,0,68,월세  40~70,Y,N,공용,Y,0.00%,,,,
635,영등포구,서울 영등포구 영신로32길 28,5호선 영등포시장역,길고시원,0,46,월세  20~27,Y,N,공용,N,0.00%,,,,
636,서대문구,서울 서대문구 이화여대8길 3,2호선 이대역,아이피IP레지던스 이대역점,0,53,월세  28~48,Y,N,여성전용,N,0.00%,,,,
637,서대문구,서울 서대문구 이화여대5길 8,2호선 이대역,이화고시텔 여성전용,0,70,월세  17~24,Y,N,여성전용,N,0.00%,,,,
638,관악구,서울 관악구 대학14길 77-4,N,성관고시원 남성전용,0,28,월세  16~20,Y,N,공용,N,0.00%,,,,
639,관악구,서울 관악구 중앙2길 5,2호선 서울대입구역,성창원룸텔,0,15,월세  30~45,Y,3,공용,N,0.00%,,,,
640,강남구,서울 강남구 역삼로17길 61,2호선 역삼역,스타리빙텔 역삼역점,0,37,월세  30~45,Y,1,공용,Y,0.00%,,,,
641,서대문구,서울 서대문구 경기대로 36 ,2호선 충정로역,웰컴고시텔,0,45,월세  23~45,Y,2,공용,Y,0.00%,,,,
642,관악구,서울 관악구 낙성대로 20,2호선 낙성대역,캐슬파인 서울대점,0,46,월세  30~45,Y,N,공용,Y,0.00%,,,,
643,종로구,서울 종로구 지봉로12길 6,6호선 창신역,올리브하우스,0,36,월세  30~33,Y,5,공용,N,0.00%,,,,
644,관악구,서울 관악구 신림로68길 38,2호선 신림역,행복고시원 신림역점,0,25,월세  35~40,Y,N,공용,N,0.00%,,,,
645,중랑구,서울 중랑구 면목로 394,7호선 면목역,메트로레지던스 면목점,1,30,월세  32~43,Y,N,공용,N,3.33%,,,,
646,중랑구,서울 중랑구 망우로226,경의중앙선 중랑역,사이버고시텔,0,20,월세  15~30,Y,1,공용,N,0.00%,,,,
647,관악구,서울 관악구 대학14길 77-20,N,동일고시원,0,27,월세  15~23,Y,N,공용,N,0.00%,,,,
648,강동구,서울 강동구 천중로23길 43,8호선 암사역,풀옵션레지던스 암사점,0,48,월세  33~47,Y,4,공용,N,0.00%,,,,
649,송파구,서울 송파구 백제고분로9길 47 ,2호선 잠실새내역,해피하우스 잠실새내역점,1,30,월세  30~50,Y,1,공용,N,3.33%,,,,
650,송파구,서울 송파구 삼학사로 42-1 ,9호선 석촌고분역,로하스리빙텔,0,37,월세  27~70,Y,N,공용,Y,0.00%,,,,
651,서대문구,서울 서대문구 연세로7길 18,2호선 신촌역,하영리빙텔,0,33,월세  28~38,Y,N,공용,N,0.00%,,,,
652,관악구,서울 관악구 남부순환로 1835-26,2호선 서울대입구역,한누리고시원,0,47,월세  17~25,Y,N,공용,N,0.00%,,,,
653,관악구,서울 관악구 호암로26가길 47,N,함인정 여성전용고시원,1,41,월세  25~29,Y,3,여성전용,N,2.44%,,,,
654,관악구,서울 관악구 남부순환로191길 11,2호선 신림역,노아리빙텔 신림역점,0,25,월세  30~45,Y,3,공용,N,0.00%,,,,
655,관악구,서울 관악구 방천길 11,N,신림 여성전용 하우스,0,10,월세  20~27,Y,N,여성전용,N,0.00%,,,,
656,성동구,서울 성동구 왕십리로 331,2호선 상왕십리역,베스트원룸텔,0,36,월세  30~60,Y,N,공용,N,0.00%,,,,
657,관악구,서울 관악구 남부순환로 1941,2호선 낙성대역,드림하우스 ,2,24,월세  40~53,Y,1,공용,N,8.33%,,,,
658,마포구,서울 마포구 백범로24-1,경의중앙선 서강대역,로고스원룸,0,23,월세  55~55,Y,5,공용,N,0.00%,,,,
659,강남구,서울 강남구 테헤란로20길 11,2호선 역삼역,탑리빙텔 역삼역점,0,28,월세  38~60,Y,2,공용,Y,0.00%,,,,
660,강남구,서울 강남구 테헤란로21길 8,2호선 역삼역,더게스트하우스 역삼역점,0,18,월세  50~70,Y,N,공용,N,0.00%,,,,
661,마포구,서울 마포구 와우산로15길28,6호선 상수역,형진 여성전용고시텔 ,0,15,월세  25~42,Y,N,여성전용,N,0.00%,,,,
