,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교
3969,서울 관악구 00동,450,50 개,50 개,00 대,4000,428,None,17000,None,None
3970,서울 동대문구 00동,시설환영,44 개,44 개,00 대,4천,360,None,1억5천,None,None
3971,서울 중랑구 00동,530,개,개,00 대,4천,300,None,2억,None,None
3972,서울 강남구 00동,509,45 개,26 개,00 대,10000,740,None,41000,None,None
3973,서울 강남구 00동,계약임박,31 개,31 개,00 대,8000,650,None,19000,None,None
3974,서울 강동구 길동,456,개,개,1 대,3000,237,None,3000,None,None
3975,서울 중구 00동,298,개,개,00 대,,290,4,13000,None,None
3976,서울 동작구 00동,강추,30 개,3 개,1 대,5000,300,None,15500,None,None
3977,서울 중구 00동,고수익,개,개,00 대,4000,450,20,3억5000,None,None
3978,서울 동작구 00동,187.97,31 개,4 개,00 대,,490,None,1억9500,None,None
3979,서울 금천구 00동,300,45 개,45 개,00 대,2000,220,30,1억2500,None,None
3980,서울 구로구 00동,458.94,32 개,32 개,00 대,6500,650,None,2억6000,None,None
3981,서울 관악구 00동,400,30 개,16 개,00 대,4000,450,None,1억7000,None,None
3982,서울 양천구 00동,300,67 개,44 개,00 대,상담,281,None,2억6천,None,None
3983,서울 금천구 00동,270,36 개,26 개,00 대,1500,150,None,8000,None,None
3984,서울 송파구 송파동,420,상담 개,개,1 대,6천,590,40,2억,None,None
3985,서울 동대문구 제기동,340,40 개,4 개,00 대,상담,205,None,11000,None,None
3986,서울 성북구 돈의동,338.84,63 개,21 개,1 대,5천,350,무,권리금3천,None,None
3987,서울 강서구 00동,430.16,상담 개,개,00 대,4천,250,None,9천,None,None
3988,서울 동대문구 00동,440,51 개,6 개,00 대,350,5000,None,8000,None,None
3989,서울 광진구 00동,395.1,38 개,개,00 대,3000,270,None,7000,None,None
3990,서울 구로구 구로동,410,개,개,1 대,6500,620,40,합2.6억,None,None
3991,서울 서대문구 00동,300,개,개,00 대,15000,600,None,33000,None,None
3992,서울 종로구 00동,시설,67 개,40 개,00 대,5000,520,None,3억5000,None,None
3993,서울 강남구 00동,시설,개,개,00 대,10000,1200,None,55000,None,None
3994,서울 광진구 00동,460,40 개,개,00 대,5000,400,None,1억2000,None,None
3995,서울 관악구 00동,추천,개,개,00 대,428,4000,None,17000,None,None
3996,서울 종로구 00동,429,43 개,개,00 대,7000,600,None,36000,None,None
3997,서울 동대문구 휘경동,강추강추,개,개,1 대,1억,300,60만원,2억5천,None,None
3998,서울 영등포구 당산동6가,330,61 개,개,2 대,2천,400,없음,1억2천,None,None
3999,서울 서초구 서초동,추천,32 개,32 개,X 대,5천,680,없음,2억3천,None,None
4000,서울 종로구 종로5가,수익률 좋아&,29 개,15 개,2 대,7500,320,20,합1억7천,None,None
4001,서울 중구 00동,368.51,45 개,28 개,00 대,5000,455,문의,13000,None,None
4002,서울 노원구 00동,250.56,36 개,36 개,00 대,,680,None,21000,None,None
4003,서울 송파구 백제고분로,133.47,42 개,3 개,불가 대,6000,486,없음,1억7천,None,None
4004,서울 동작구 00동,410,개,개,00 대,,350,None,10000,None,None
4005,서울 관악구 00동,402.94,35 개,21 개,00 대,,420,300000,12000,None,None
4006,서울 강남구 역삼동,425,개,개,1 대,6000,530,30,1억2천,None,None
4007,서울 구로구 00동,307.34,31 개,4 개,00 대,상담,250,상담,1억7천,None,None
4008,서울 마포구 00동,127,45 개,4 개,00 대,1억3천,780,사용량,5억,None,None
4009,서울 금천구 00동,313.76,상담 개,개,00 대,3000,210,None,5500,None,None
4010,서울 중구 신당동,326.25,상담 개,개,00 대,7500,700,None,22000,None,None
4011,서울 동대문구 00동,330,29 개,4 개,00 대,4000,360,None,12500,None,None
4012,서울 강서구 00동,528.72,51 개,31 개,00 대,7000,300,None,17000,None,None
4013,서울 강남구 00동,143.26,37 개,개,00 대,상담,300,None,1억7천,None,None
4014,서울 구로구 구로동,389.25,50 개,개,1 대,5000,360,사용량따라,10000,None,None
4015,서울 성북구 안암동,295.2,상담 개,개,1 대,10000,910,사용량따라,22000,None,None
4016,서울 동대문구 이문동,355,28 개,12 개,없음 대,3000,262,사용량따라,10000,None,None
4017,서울 성북구 동선동,207.14,87 개,76 개,불가 대,6500,200,없음,3억5500,None,None
4018,서울 중구 충무로,367,31 개,4 개,불가 대,3800,470,없음,1억5천,None,None
4019,서울 송파구 석촌동,902.55,30 개,30 개,1 대,9000,400,사용량따라,17000,None,None
4020,서울 관악구 남부순환로,254,44 개,26 개,불가 대,3000,350,15만포함,1억7천,None,None
4021,서울 노원구 00동,270,35 개,20 개,00 대,5천,385,None,2억7500,None,None
4022,서울 중구 역사문화역,452.1,35 개,35 개,1 대,3500,330,30,합1억5천,None,None
4023,서울 종로구 종로역,367,29 개,개,00 대,7천,600,30,합3억2천,None,None
4024,서울 동작구 노량진동,254.6,45 개,22 개,1 대,7천,320,None,권리금3천,None,None
4025,서울 서초구 반포동,295,50 개,50 개,3 대,2억,1000,별도,4억7천만,9호선 신논현역,None
