,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교
0,서울 중구 명동,330 , 30 개, 원30 개,00 대,3천 만원, 220 , 20 ,합2억7천,-선택사항- ,-선택사항-     
1,서울 구로구 대림역,360 , 40 개, 원26 개,1 대,4천 만원, 380 , 30 ,합1억7천,-선택사항- ,-선택사항-     
2,서울 동작구 노량진동,430 , 24 개, 큰24 개,1 대,7천 만원, 280 , 30 ,합2억4천,-선택사항- ,-선택사항-     
3,서울 광진구 구의동,420 , 42 개, 42 개,1 대,4천 만원, 475 , 60 ,합3억2천,-선택사항- ,-선택사항-     
4,서울 중랑구 상봉동,390 , 30 개, 원30 개,1 대,5천 만원, 370 , 10 ,합2억7천,-선택사항- ,-선택사항-     
5,서울 강남구 도곡역,370 , 40 개, 문의 개,1 대,6천 만원, 330 , 00 ,합2억7천,-선택사항- ,-선택사항-     
6,서울 마포구 00동,430 , 39 개, 39 개,00 대,11000 만원, 540 , 00 ,3억2천,-선택사항- ,-선택사항-     
7,서울 동대문구 00동,. ,  개,  개,00 대, 만원, . , 00 ,2억8천,-선택사항- ,-선택사항-     
8,서울 서초구 00동,. , 50 개,  개,00 대, 만원, . , 00 ,2억2천,-선택사항- ,-선택사항-     
9,서울 도봉구 00동,390 , 40 개,  개,32 대,4000 만원, 210 , 00 ,9000,-선택사항- ,-선택사항-     
10,서울 관악구 00동,00 , 37 개,  개,00 대,6000 만원, 340 , 00 ,17000,-선택사항- ,-선택사항-     
11,서울 강남구 역삼동,303.14 , 37 개, 18 개,00 대,5000 만원, 638 , 00 ,23000,-선택사항- ,-선택사항-     
12,서울 종로구 관철동,288.58 , 37 개, 37 개,00 대,11000 만원, 594 , 00 ,30000,-선택사항- ,-선택사항-     
13,서울 서초구 00동,00 , 27 개,  개,00 대, 만원, 200 , 00 ,3000,-선택사항- ,-선택사항-     
14,서울 강남구 00동,303.14 , 35 개, 18 개,00 대,5000 만원, 638 , 포함 ,25000,-선택사항- ,-선택사항-     
15,서울 송파구 잠실본동,468.99 , 40 개, 40 개,00 대,6천 만원, 735 , 무 ,4억,-선택사항- ,-선택사항-     
16,서울 중구 청계천로,358.02 , 32 개, 32 개,00 대,5천 만원, 558 , 무 ,3억2천,-선택사항- ,-선택사항-     
17,서울 종로구 00동,166.65 ,  개,  개,00 대,4천 만원, 250 , 사용량에따라 ,2억2천,-선택사항- ,-선택사항-     
18,서울 영등포구 대방동,151.9 , 40 개, 25 개,2 대,2천5백 만원, 330 , 없음 ,1억9천5백,-선택사항- ,-선택사항-     
19,서울 성북구 00동,193.2 , 35 개, 6 개,00 대,4천 만원, 230 , 없음 ,7천,-선택사항- ,-선택사항-     
20,서울 강북구 00동,262.98 , 17 개, 17 개,2 대,3000 만원, 250 , 00 ,16000,-선택사항- ,-선택사항-     
21,서울 성북구 길음동,297.09 , 36 개, 36 개,X 대,7천5백 만원, 490 , 포함 ,2억7천5백,-선택사항- ,-선택사항-     
22,서울 서초구 서초동,203.7 , 40 개, 26 개,2 대,6천 만원, 575 , 없음 ,2억,-선택사항- ,-선택사항-     
23,서울 강동구 00동,422.18 , 54 개, 17 개,4 대,8000 만원, 500 , 포함 ,2억,-선택사항- ,-선택사항-     
24,서울 도봉구 00동,250 , 42 개,  개,00 대,4000 만원, 210 , 00 ,9000,-선택사항- ,-선택사항-     
25,서울 서초구 00동,211.8 , 35 개, 16 개,없음 대,3천 만원, 433 , 없음 ,2억5천,-선택사항- ,-선택사항-     
26,서울 마포구 00동,150평 ,  개,  개,00 대,9000 만원, 900 , 00 ,46000,-선택사항- ,-선택사항-     
27,서울 강남구 00동,303.14 , 35 개,  개,00 대,5000 만원, 638 , 00 ,23000,-선택사항- ,-선택사항-     
28,서울 영등포구 00동,246.04 , 43 개,  개,00 대,3500 만원, 260 , 00 ,1억,-선택사항- ,-선택사항-     
29,서울 종로구 낙원동,593.92 , 77 개, 9 개,00 대,7000 만원, 620 , 00 ,19000,-선택사항- ,-선택사항-     
30,서울 강남구 00동,523.8 , 64 개,  개,00 대,5000 만원, 750 , 00 ,29000,-선택사항- ,-선택사항-     
31,서울 송파구 문정동,277.44 , 29 개, 16 개,00 대,3000 만원, 355 , 00 ,20000,-선택사항- ,-선택사항-     
32,서울 중구 00동,495 , 50 개,  개,00 대,5000 만원, 500 , 00 ,3억7000,-선택사항- ,-선택사항-     
33,서울 송파구 00동,300 , 30 개, 30 개,00 대,4천 만원, 390 , 60 ,2억3천,-선택사항- ,-선택사항-     
34,서울 동대문구 00동,330 , 30 개, 30 개,00 대,5000 만원, 340 , 00 ,2억6000,-선택사항- ,-선택사항-     
35,서울 성북구 00동,520 , 47 개, 47 개,00 대,5천 만원, 680 , 50 ,3억2천,-선택사항- ,-선택사항-     
36,서울 노원구 00동,500 , 55 개,  개,00 대,6000 만원, 680 , 00 ,30000,-선택사항- ,-선택사항-     
37,서울 중구 00동,380 , 42 개, 42 개,00 대,6천 만원, 580 , 50 ,3억6천,-선택사항- ,-선택사항-     
38,서울 서대문구 00동,360 , 27 개,  개,00 대,2억 만원, 550 , 00 ,3억4000,-선택사항- ,-선택사항-     
39,서울 동작구 00동,420 , 55 개,  개,00 대,4000 만원, 500 , 00 ,21000,-선택사항- ,-선택사항-     
40,서울 동작구 00동,217 ,  개,  개,00 대,3000 만원, 200 , 없음 ,7000,-선택사항- ,-선택사항-     
41,서울 마포구 00동,150평 ,  개,  개,00 대,7000 만원, 480 , 00 ,45000,-선택사항- ,-선택사항-     
42,서울 관악구 00동,180 , 30 개,  개,00 대,4000 만원, 240 , 00 ,9000,-선택사항- ,-선택사항-     
43,서울 양천구 00동,294 , 30 개, 30 개,00 대,4천 만원, 290 , 30 ,1억5천,-선택사항- ,-선택사항-     
44,서울 동대문구 00동,120평 ,  개,  개,00 대,5000 만원, 500 , 00 ,31000,-선택사항- ,-선택사항-     
45,서울 강동구 성내동,422.18 , 54 개, 15 개,00 대,8000 만원, 500 , 00 ,19000,-선택사항- ,-선택사항-     
46,서울 마포구 00동,410 , 39 개, 39 개,00 대,1억1천 만원, 540 , 00 ,3억2천,-선택사항- ,-선택사항-     
47,서울 동대문구 00동,90평 ,  개,  개,00 대,5000 만원, 340 , 00 ,17000,-선택사항- ,-선택사항-     
48,서울 동대문구 00동,244 ,  개,  개,00 대,300 만원, 3000 , 2~3층/3층 ,11000,-선택사항- ,-선택사항-     
49,서울 동대문구 00동,110 ,  개,  개,00 대,6500 만원, 505 , 00 ,7000,-선택사항- ,-선택사항-     
50,서울 동대문구 00동,422 , 30중� 개,  개,5 대,7000 만원, 410 , 00 ,28000,-선택사항- ,-선택사항-     
51,서울 종로구 00동,287 , 60개� 개,  개,00 대,7000 만원, 600 , 00 ,36000,-선택사항- ,-선택사항-     
52,서울 종로구 00동,235 , 20 개,  개,44 대,6000 만원, 300 , 00 ,15500,-선택사항- ,-선택사항-     
53,서울 강동구 00동,120 , 35 개,  개,00 대,5000 만원, 550 , 00 ,28000,-선택사항- ,-선택사항-     
54,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     
55,서울 송파구 00동,330 , 35 개, 21 개,00 대,5000 만원, 470 , 00 ,2억2천,-선택사항- ,-선택사항-     
56,서울 서초구 이수역,130평 , 43 개,  개,00 대, 만원, 650 , 00 ,3억5천,-선택사항- ,-선택사항-     
57,서울 강남구 00동,460 , 48 개, 48 개,00 대,1억2천 만원, 790 , 50 ,4억2천,-선택사항- ,-선택사항-     
58,서울 송파구 00동,313 , 30 개, 30 개,00 대,5천 만원, 370 , 30 ,3억2천,-선택사항- ,-선택사항-     
59,서울 성동구 00동,376 , 42 개, 42 개,00 대,4천 만원, 470 , 60 ,3억2천,-선택사항- ,-선택사항-     
60,서울 동작구 00동,328 , 35 개, 35 개,00 대,1억5천 만원, 470 , 30 ,3억2천,-선택사항- ,-선택사항-     
61,서울 구로구 00동,462 , 41 개, 41 개,00 대,5천 만원, 420 , 30 ,4억1천,-선택사항- ,-선택사항-     
62,서울 송파구 00동,330 , 35 개, 21 개,00 대,5000 만원, 470 , 00 ,2억2천,-선택사항- ,-선택사항-     
63,서울 송파구 00동,330 , 35 개, 21 개,00 대,5000 만원, 470 , 00 ,2억2천,-선택사항- ,-선택사항-     
64,서울 송파구 00동,330 , 35 개, 21 개,00 대,5000 만원, 470 , 00 ,2억2천,-선택사항- ,-선택사항-     
65,서울 송파구 00동,330 , 35 개, 21 개,00 대,5000 만원, 470 , 00 ,2억2천,-선택사항- ,-선택사항-     
66,서울 강남구 양재동,398 , 35 개, 35 개,3 대,5000 만원, 700 , 00 ,28000,-선택사항- ,-선택사항-     
67,서울 서대문구 00동,. , ☎ 개, . 개,. 대,. 만원, . , . ,4억8천,2호선 신촌역,-선택사항-     
68,서울 관악구 00동,. , 39 개, . 개,. 대,. 만원, . , . ,1억9천,2호선 구로디지털역,-선택사항-     
69,서울 서대문구 00동,. , 35 개, . 개,. 대,. 만원, . , . ,9천,2호선 신촌역,-선택사항-     
70,서울 강남구 00동,. , 36 개, . 개,. 대,. 만원, . , . ,3억2천,2호선 역삼역,-선택사항-     
71,서울 동작구 00동,. , 30 개, . 개,. 대,. 만원, . , . ,3억1천,9호선 노량진역,-선택사항-     
72,서울 광진구 중곡동,187 , 42 개, 4 개,3 대,4000 만원, 250 , 없음 ,8000,-선택사항- ,-선택사항-     
73,서울 강서구 공항동,220 , 31 개,  개,1 대,5000 만원, 160 , 00 ,7천만,5호선 송정역,-선택사항-     
74,서울 동대문구 이문동,489 , 36 개, 37 개,4 대,7000 만원, 25000 , 없슴 ,25000,-선택사항- ,-선택사항-     
75,서울 강동구 00동,390 , 35 개, 35 개,1 대,5000 만원, 580 , 00 ,27000,-선택사항- ,-선택사항-     
76,서울 구로구 00동,340 , 40 개, 24 개,1 대,4000 만원, 360 , 별도 ,17000,-선택사항- ,-선택사항-     
77,서울 성북구 월곡동,264.4 , 42 개, 2 개,2 대,4000 만원, 200 , 없슴 ,9000,-선택사항- ,-선택사항-     
78,서울 용산구 00동,561 , 50 개,  개,1 대,500 만원, 700 , 00 ,1억4천만,4호선 숙대입구역,서울 숙명여자대학교    
79,서울 금천구 00동,380 ,  개,  개,00 대,5000 만원, 400 , 00 ,17000,-선택사항- ,-선택사항-     
80,서울 노원구 00동,410 , 40 개,  개,00 대,3000 만원, 400 , 00 ,18000,-선택사항- ,-선택사항-     
81,서울 종로구 숭인동,195 , 20 개, 20 개,00 대,6천 만원, 300 , 별도 ,1억5천,-선택사항- ,-선택사항-     
82,서울 서대문구 창천동,238.78 , 37 개, 37 개,00 대,3천6백 만원, 495 , 무 ,2억,-선택사항- ,-선택사항-     
83,서울 서초구 00동,403.30 , 50 개,  개,00 대,8500 만원, 540 , 50 ,23,-선택사항- ,-선택사항-     
84,서울 영등포구 영등포동,390 , 40 개, 13 개,1 대,2500 만원, 190 , 30 ,합1억7500,-선택사항- ,-선택사항-     
85,서울 동작구 노량진동,420 , 큰24 개, 원24 개,1 대,8천 만원, 280 , 30 ,합2억4천,-선택사항- ,-선택사항-     
86,서울 강남구 서초동,390 , 40 개, 원25 개,1 대,6천 만원, 490 , 50 ,합1억9500,-선택사항- ,-선택사항-     
87,서울 광진구 건대,420 , 42 개, 원42 개,1 대,4천 만원, 475 , 60 ,합3억2천,-선택사항- ,-선택사항-     
88,서울 중구 명동,330 , 30 개, 30 개,00 대,3 만원, 220 , 30 ,합2억7천,-선택사항- ,-선택사항-     
89,서울 동작구 00동,200.0 , 33 개,  개,00 대,6000 만원, 300 , 없음 ,36000,-선택사항- ,-선택사항-     
90,서울 강남구 00동,470 , 52 개,  개,1 대,1억 만원, 500 , 00 ,2억2천,-선택사항- ,-선택사항-     
91,서울 동작구 00동,465.3 , 77 개,  개,00 대,5000 만원, 460 , 00 ,29000,-선택사항- ,-선택사항-     
92,서울 동작구 00,330 , 32 개, 32 개,1 대,4000 만원, 340 , 00 ,2억2천,-선택사항- ,-선택사항-     
93,서울 강동구 00동,360 , 50 개, 0 개,00 대,5000 만원, 470 , 00 ,1억8000,-선택사항- ,-선택사항-     
94,서울 종로구 숭인동,235.14 , 20 개, 20 개,X 대,6천 만원, 330 , 40만원 ,1억6천5백,-선택사항- ,-선택사항-     
95,서울 성북구 삼선동,102.35 , 35 개, 5 개,X 대,4천 만원, 250 , 없음 ,8천,-선택사항- ,-선택사항-     
96,서울 종로구 00동,270 , 33 개,  개,00 대,3000 만원, 230 , 00 ,8000,-선택사항- ,-선택사항-     
97,서울 강북구 수유동,228.53 , 23 개, 23 개,X 대,4천 만원, 200 , 없음 ,2억2천,-선택사항- ,-선택사항-     
98,서울 송파구 00동,00 , 40 개,  개,00 대,3000 만원, 180 , 00 ,9000,-선택사항- ,-선택사항-     
99,서울 동작구 노량진동,122.5 , 39 개, 39 개,X 대,5천 만원, 460 , 없음 ,2억7천,-선택사항- ,-선택사항-     
100,서울 영등포구 00동,380 , 57 개,  개,00 대,5000 만원, 385 , 00 ,14000,-선택사항- ,-선택사항-     
101,서울 동대문구 청량리동,143.64 , 22 개, 3 개,X 대,2천 만원, 165 , 없음 ,5천,-선택사항- ,-선택사항-     
102,서울 동작구 00동,575.5 , 50 개,  개,00 대,5000 만원, 370 , 00 ,11500,-선택사항- ,-선택사항-     
103,서울 중구 00동,284 , 45 개,  개,00 대,4400 만원, 320 , 00 ,10000,-선택사항- ,-선택사항-     
104,서울 노원구 00동,283 ,  개,  개,00 대,5000 만원, 300 , 10 ,5000,-선택사항- ,-선택사항-     
105,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     
106,서울 강동구 00동,120 , 35 개,  개,00 대,5000 만원, 550 , 00 ,28000,-선택사항- ,-선택사항-     
107,서울 동대문구 00동,80평 ,  개,  개,00 대,2000 만원, 300 , 00 ,15000,-선택사항- ,-선택사항-     
108,서울 광진구 00동,190평 ,  개,  개,00 대,5억 만원, 600 , 00 ,8억,-선택사항- ,-선택사항-     
109,서울 금천구 00동,100평 ,  개,  개,00 대,5000 만원, 240 , 00 ,13000,-선택사항- ,-선택사항-     
110,서울 금천구 00동,110평 ,  개,  개,00 대,4천 만원, 390 , 00 ,4억,-선택사항- ,-선택사항-     
111,서울 서초구 00동, , 50 개,  개,00 대,1억3천 만원, 800 , 00 ,4억2천,-선택사항- ,-선택사항-     
112,서울 영등포구 00동,300 , 47 개,  개,00 대,5천 만원, 440 , 20 ,1억6천,-선택사항- ,-선택사항-     
113,서울 영등포구 00동,300 , 47 개,  개,00 대,5천 만원, 440 , 20 ,1억6천,-선택사항- ,-선택사항-     
114,서울 영등포구 00동,300 , 47 개,  개,00 대,5천 만원, 440 , 20 ,1억6천,-선택사항- ,-선택사항-     
115,서울 영등포구 00동,300 , 47 개,  개,00 대,5천 만원, 440 , 20 ,1억6천,-선택사항- ,-선택사항-     
116,서울 영등포구 00동,300 , 47 개,  개,00 대,5천 만원, 440 , 20 ,1억6천,-선택사항- ,-선택사항-     
117,서울 양천구 00동,300.21 , 46 개, 0 개,00 대,4000 만원, 255 , 00 ,11000,-선택사항- ,-선택사항-     
118,서울 마포구 00동,388.17 , 52 개, 0 개,00 대,9000 만원, 810 , 00 ,45000,-선택사항- ,-선택사항-     
119,서울 영등포구 00동,400 , 39 개,  개,00 대,1억 만원, 600 , 00 ,1억6000,-선택사항- ,-선택사항-     
120,서울 구로구 00동,340 , 40 개, 20 개,00 대,5000 만원, 400 , 00 ,1억5000,-선택사항- ,-선택사항-     
121,서울 영등포구 00동,330 , 40 개, 15 개,00 대,3200 만원, 370 , 00 ,1억4000,-선택사항- ,-선택사항-     
122,서울 관악구 00동,230 , 29 개,  개,00 대, 만원, 240 , 30 ,6500,-선택사항- ,-선택사항-     
123,서울 영등포구 00동,330 , 35 개, 29 개,00 대,7000 만원, 390 , 00 ,15000,-선택사항- ,-선택사항-     
124,서울 구로구 00동,340 , 40 개, 24 개,1 대,4000 만원, 360 , 별도 ,17000,-선택사항- ,-선택사항-     
125,서울 강동구 00동,390 , 35 개, 35 개,1 대,5000 만원, 580 , 00 ,27000,-선택사항- ,-선택사항-     
126,서울 동대문구 00동,210.31 , 31 개, 6 개,00 대,3천 만원, 240 , 없음 ,9500,-선택사항- ,-선택사항-     
127,서울 서초구 00동,404.22 , 40 개, 28 개,00 대,6천 만원, 520 , 사용량에따라 ,1억9500,-선택사항- ,-선택사항-     
128,서울 중구 00동,281.12 , 37 개, 14 개,00 대,5000 만원, 450 , 72 ,2억,-선택사항- ,-선택사항-     
129,서울 중구 00동,126.88 , 29 개, 29 개,00 대,3000 만원, 220 , 20 ,2억,-선택사항- ,-선택사항-     
130,서울 구로구 00동,166.65 , 27 개, 12 개,00 대,5천 만원, 360 , 없음 ,1억,-선택사항- ,-선택사항-     
131,서울 송파구 00동,166.68 , 30 개, 30 개,00 대,5000 만원, 400 , 없음 ,2억,-선택사항- ,-선택사항-     
132,서울 광진구 00동,340 , 40 개, 11 개,2 대,4000 만원, 420 , 00 ,2억,-선택사항- ,-선택사항-     
133,서울 종로구 종각,3320 , 33 개, 33 개,1 대,6000 만원, 360 , 00 ,3억2천,1호선 종각역,-선택사항-     
134,서울 성북구 00동,520 , 47 개, 47 개,00 대,5천 만원, 680 , 50 ,3억2천,-선택사항- ,-선택사항-     
135,서울 동작구 00동,430 , 24 개, 24 개,00 대,8천 만원, 270 , 30 ,2억3천,-선택사항- ,-선택사항-     
136,서울 종로구 00동,315 , 36 개, 19 개,00 대,8000 만원, 520 , 00 ,2억,-선택사항- ,-선택사항-     
137,서울 중구 00동,320 , 35 개, 35 개,1 대,5000 만원, 400 , 00 ,1억9천만,-선택사항- ,-선택사항-     
138,서울 송파구 00동,161.15 , 25 개,  개,00 대,3000 만원, 215 , 없음 ,3000,-선택사항- ,-선택사항-     
139,서울 영등포구 00동,380 , 57 개,  개,00 대,5000 만원, 385 , 없음 ,13000,-선택사항- ,-선택사항-     
140,서울 강동구 길동,240.3 , 28 개, 17 개,X 대,3천 만원, 264 , 없음 ,1억7천,-선택사항- ,-선택사항-     
141,서울 송파구 풍납동,155.26 , 37 개, 4 개,X 대,3천5백 만원, 350 , 없음 ,1억5천5백,-선택사항- ,-선택사항-     
142,서울 성동구 용답동,154 , 32 개, 32 개,1 대,4천 만원, 280 , 20만원 ,2억7천,-선택사항- ,-선택사항-     
143,서울 서초구 00동,275.18 , 27 개, 27 개,00 대,5000 만원, 420 , 25만원 ,25000,-선택사항- ,-선택사항-     
144,서울 중구 00동,417.6 , 37 개, 37 개,00 대,6000 만원, 650 , 없음 ,22000,-선택사항- ,-선택사항-     
145,서울 중구 을지로,279.7 , 40 개, 6 개,00 대,3000 만원, 350 , 00 ,12000,-선택사항- ,-선택사항-     
146,서울 강북구 00동,262.98 , 17 개, 17 개,00 대,3000 만원, 250 , 없슴 ,17000,-선택사항- ,-선택사항-     
147,서울 종로구 관수동,265.12 , 40 개, 40 개,00 대,7000 만원, 600 , 00 ,37000,-선택사항- ,-선택사항-     
148,서울 종로구 00동,175.86 , 20 개,  개,00 대,4000 만원, 250 , 00 ,21000,-선택사항- ,-선택사항-     
149,서울 서초구 00동,00 , 53 개,  개,00 대,10000 만원, 520 , 00 ,22000,-선택사항- ,-선택사항-     
150,서울 동작구 노량진동,253.41 , 30 개, 30 개,00 대,5000 만원, 300 , 00 ,35000,-선택사항- ,-선택사항-     
151,서울 종로구 00동,250 ,  개,  개,00 대,8000 만원, 520 , 없음 ,1억8000,-선택사항- ,-선택사항-     
152,서울 종로구 00동,244 ,  개,  개,00 대,3000 만원, 300 , 없음 ,5500,-선택사항- ,-선택사항-     
153,서울 영등포구 영등포동,194.19 , 39 개, 38 개,1 대,1억 만원, 665 , 포함 ,1억7천,-선택사항- ,-선택사항-     
154,서울 광진구 00동,360 , 43 개, 40 개,00 대,5000 만원, 500 , 00 ,3억3000,-선택사항- ,-선택사항-     
155,서울 영등포구 00동,495 , 35 개, 35 개,00 대,5000 만원, 450 , 별도 ,,-선택사항- ,-선택사항-     
156,서울 동작구 00동,180 , 25 개,  개,00 대,5000 만원, 275 , 00 ,14000,-선택사항- ,-선택사항-     
157,서울 동작구 00동,240 , 40 개,  개,00 대,2000 만원, 210 , 00 ,9000,-선택사항- ,-선택사항-     
158,서울 강남구 00동,303.8 ,  개,  개,00 대,5000 만원, 600 , 00 ,24000,-선택사항- ,-선택사항-     
159,서울 영등포구 00동,295 , 30 개,  개,00 대,4000 만원, 300 , 00 ,26000,-선택사항- ,-선택사항-     
160,서울 노원구 00동,500 , 55 개,  개,00 대,6000 만원, 680 , 00 ,30000,-선택사항- ,-선택사항-     
161,서울 관악구 00동,230 , 35 개,  개,00 대,5000 만원, 330 , 00 ,18000,-선택사항- ,-선택사항-     
162,서울 마포구 00동,. , 50 개, . 개,. 대,. 만원, . , . ,2억4천5백,2호선 홍대입구역,-선택사항-     
163,서울 구로구 00동,. , 39 개, . 개,. 대,. 만원, . , . ,4억6천,7호선 가산디지털역,-선택사항-     
164,서울 영등포구 00동,. , 40 개, . 개,. 대,. 만원, . , . ,1억1천,2호선 당산역,-선택사항-     
165,서울 용산구 00동,118.88 , 49 개, 0 개,00 대,9000 만원, 500 , 00 ,13000,-선택사항- ,-선택사항-     
166,서울 구로구 00동,462 , 41 개, 41 개,00 대,5천 만원, 420 , 30 ,4억1천,-선택사항- ,-선택사항-     
167,서울 중구 00동,298 , 43 개, 39 개,2 대,7000 만원, 600 , 00 ,18000,-선택사항- ,-선택사항-     
168,서울 강동구 00동,422.18 , 54 개, 17 개,4 대,8000 만원, 500 , 포함 ,2억,-선택사항- ,-선택사항-     
169,서울 송파구 00동,403 , 50 개,  개,00 대,4천 만원, 450 , 50 ,1억7천5백,-선택사항- ,-선택사항-     
170,서울 강남구 00동,332 , 40 개,  개,00 대,6천 만원, 470 , 50 ,1억9천5백,-선택사항- ,-선택사항-     
171,서울 중구 00동,380 , 42 개, 42 개,00 대,6천 만원, 580 , 50 ,3억6천,-선택사항- ,-선택사항-     
172,서울 송파구 00동,300 , 30 개, 30 개,00 대,4천 만원, 390 , 60 ,2억3천,-선택사항- ,-선택사항-     
173,서울 도봉구 00동,70평 ,  개,  개,00 대,3000 만원, 200 , 00 ,18000,-선택사항- ,-선택사항-     
174,서울 도봉구 00동,90평 ,  개,  개,00 대,7000 만원, 300 , 00 ,12000,-선택사항- ,-선택사항-     
175,서울 동작구 00동,135평 ,  개,  개,00 대,9000 만원, 550 , 00 ,36000,-선택사항- ,-선택사항-     
176,서울 동작구 00동,90평 ,  개,  개,00 대,4000 만원, 330 , 00 ,16000,-선택사항- ,-선택사항-     
177,서울 구로구 00동,105평 ,  개,  개,00 대,5000 만원, 420 , 00 ,1억,-선택사항- ,-선택사항-     
178,서울 중구 00동,. ,  개,  개,00 대, 만원, 443 , 00 ,1억8천,-선택사항- ,-선택사항-     
179,서울 강동구 둔촌동,373.5 , 58 개, 2 개,3 대,5000 만원, 330 , 65만원 ,13000,-선택사항- ,-선택사항-     
180,서울 성동구 00동,309.52 , 41 개, 0 개,00 대,5000 만원, 370 , 00 ,12500,-선택사항- ,-선택사항-     
181,서울 영등포구 00동,330 , 35 개, 29 개,00 대,7000 만원, 390 , 00 ,15000,-선택사항- ,-선택사항-     
182,서울 강동구 00동,390 , 35 개, 35 개,1 대,5000 만원, 580 , 00 ,27000,-선택사항- ,-선택사항-     
183,서울 구로구 00동,340 , 40 개, 24 개,1 대,4000 만원, 360 , 별도 ,17000,-선택사항- ,-선택사항-     
184,서울 강남구 00동,00 , 44 개,  개,00 대,6000 만원, 570 , 00 ,23000,-선택사항- ,-선택사항-     
185,서울 관악구 00동,330 , 36 개, 25 개,00 대,4000 만원, 450 , 00 ,2억,-선택사항- ,-선택사항-     
186,서울 은평구 00동,00 , 33 개,  개,00 대,5000 만원, 490 , 00 ,23000,-선택사항- ,-선택사항-     
187,서울 영등포구 00동,249.9 , 40 개, 0 개,00 대,3000 만원, 240 , 10 ,11000,-선택사항- ,-선택사항-     
188,서울 중구 00동,187 , 35 개, 35 개,3 대,5000 만원, 445 , 없음 ,20000,-선택사항- ,-선택사항-     
189,서울 관악구 00동,340 , 38 개,  개,00 대,5000 만원, 370 , 00 ,17000,-선택사항- ,-선택사항-     
190,서울 강남구 00동,500 , 48 개, 48 개,00 대,1억2천 만원, 790 , 50 ,4억2천,-선택사항- ,-선택사항-     
191,서울 송파구 00동,300 , 30 개, 30 개,00 대,4천 만원, 390 , 60 ,2억3천,-선택사항- ,-선택사항-     
192,서울 성북구 00동,520 ,  개, 47 개,00 대,5천 만원, 680 , 50 ,3억2천,-선택사항- ,-선택사항-     
193,서울 강남구 00동,303.8 , 40 개,  개,00 대,2500 만원, 330 , 00 ,18500,-선택사항- ,-선택사항-     
194,서울 서초구 00동,328.26 , 27 개,  개,00 대,5000 만원, 420 , 00 ,26000,-선택사항- ,-선택사항-     
195,서울 중구 충무로역,330 , 30 개, 30 개,00 대,3천 만원, 220 , 30 ,합2억7천,-선택사항- ,-선택사항-     
196,서울 성북구 00,300 , 42 개,  개,1 대,4000 만원, 220 , 00 ,1억2천,-선택사항- ,-선택사항-     
197,서울 중구 00,260 , 35 개, 35 개,1 대,5000 만원, 440 , 00 ,1억8천,-선택사항- ,-선택사항-     
198,서울 강남구 영등포동,300 , 30 개, 30 개,00 대,4000 만원, 300 , 00 ,2억5천,-선택사항- ,-선택사항-     
199,서울 동작구 00동,180 , 25 개,  개,00 대,5000 만원, 250 , 00 ,14000,-선택사항- ,-선택사항-     
200,서울 동작구 00동,295 , 35 개,  개,00 대,25000 만원, 490 , 00 ,25000,-선택사항- ,-선택사항-     
201,서울 강북구 00동,90평 ,  개,  개,00 대,3000천 만원, 260 , 10만원 ,7500,-선택사항- ,-선택사항-     
202,서울 종로구 숭인동,489 , 40 개, 4 개,1 대,4000 만원, 330 , 없슴 ,6000,-선택사항- ,-선택사항-     
203,서울 마포구 동교동,550 , 50 개, 원50 개,1 대,1억 만원, 770 , 100 ,4억3천,-선택사항- ,-선택사항-     
204,서울 송파구 00동,180 , 25 개, 2 개,없음 대,3000 만원, 215 , 없음 ,3천,-선택사항- ,-선택사항-     
205,서울 종로구 00동,367.72 ,  개,  개,00 대, 만원, 450 , 00 ,합,-선택사항- ,-선택사항-     
206,서울 광진구 구의동,440 , 42 개, 원42 개,00 대,4천 만원, 475 , 00 ,합3억2천,-선택사항- ,-선택사항-     
207,서울 강남구 00동,423.84 , 48 개, 54 개,없음 대,8000 만원, 1100 , 없음 ,4억8천,-선택사항- ,-선택사항-     
208,서울 강남구 서초동,390 , 40 개, 원25 개,1 대,6천 만원, 490 , 50 ,합1억9500,-선택사항- ,-선택사항-     
209,서울 구로구 00동,400 ,  개,  개,00 대,7000 만원, 450 , 00 ,1억3000,-선택사항- ,-선택사항-     
210,서울 송파구 송파동,370 , 50 개, 8 개,1 대,4천 만원, 445 , 40 ,합1억7500,-선택사항- ,-선택사항-     
211,서울 영등포구 00동,246.04 , 43 개, 2 개,없음 대,3000 만원, 260 , 없음 ,1억1천,-선택사항- ,-선택사항-     
212,서울 동작구 노량진동,619.41 , 52 개, 17 개,2 대,7천 만원, 570 , 없음 ,2억3천5백,-선택사항- ,-선택사항-     
213,서울 관악구 00동,153 ,  개,  개,00 대,4200 만원, 340 , 40만 ,1억1000,-선택사항- ,-선택사항-     
214,서울 송파구 00동,161.15 , 25 개,  개,00 대,3000 만원, 215 , 없음 ,3000,-선택사항- ,-선택사항-     
215,서울 강동구 암사동,172.15 , 43 개,  개,00 대,4500 만원, 230 , 20 ,1억2000,-선택사항- ,-선택사항-     
