,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교
2195,서울 종로구 종로2가,330 , 33 개, 33 개,1 대,6000 만원, 360 , 36 ,3억2천,1호선 종각역,-선택사항-     
2196,서울 동작구 상도역,390 , 34 개, 34 개,1 대,5천 만원, 270 , 30 ,합2억7천,-선택사항- ,-선택사항-     
2197,서울 동작구 00동,140 ,  개,  개,00 대,9000 만원, 500 , 00 ,35000,-선택사항- ,-선택사항-     
2198,서울 종로구 00동,490 , 50 개,  개,00 대, 만원, 650 , 30 ,3억3천,-선택사항- ,-선택사항-     
2199,서울 강동구 길동,240.3 , 28 개, 17 개,X 대,3천 만원, 264 , 없음 ,1억7천,-선택사항- ,-선택사항-     
2200,서울 송파구 방이동,531.96 , 43 개, 43 개,00 대,8000 만원, 930 , 00 ,5억,-선택사항- ,-선택사항-     
2201,서울 노원구 00동,397.11 , 67 개, 3 개,3 대,7000 만원, 450 , 없음 ,12000,-선택사항- ,-선택사항-     
2202,서울 강동구 명일동,399.58 , 31 개, 31 개,00 대,1억 만원, 830 , 00 ,2억,-선택사항- ,-선택사항-     
2203,서울 동작구 00동,381.76 , 54 개, 29 개,없음 대,9000 만원, 515 , 없음 ,36000,-선택사항- ,-선택사항-     
2204,서울 동대문구 00동,340 , 38 개, 38 개,00 대,5000 만원, 500 , 00 ,3억2천만,1호선 회기역,-선택사항-     
2205,서울 영등포구 00동,268.8 , 31 개, 24 개,없음 대,4000 만원, 280 , 35 ,22000,-선택사항- ,-선택사항-     
2206,서울 관악구 00동,308.1 , 상담 개,  개,00 대,6000 만원, 430 , 00 ,22000,-선택사항- ,-선택사항-     
2207,서울 송파구 00동,180 , 25 개, 2 개,없음 대,3000 만원, 204 , 없음 ,6000,-선택사항- ,-선택사항-     
2208,서울 서초구 00동,331.38 , 35 개, 35 개,없음 대,6000 만원, 630 , 없음 ,38000,-선택사항- ,-선택사항-     
2209,서울 광진구 중곡동,247.84 , 41 개, 4 개,00 대,4000 만원, 250 , 00 ,2억4천,-선택사항- ,-선택사항-     
2210,서울 강동구 성내동,422.18 , 54 개, 17 개,4 대,8000 만원, 500 , 00 ,1억9천,-선택사항- ,-선택사항-     
2211,서울 서대문구 00동,120 , 42 개,  개,00 대,5000 만원, 450 , 00 ,28000,-선택사항- ,-선택사항-     
2212,서울 강남구 00동,100 , 33 개,  개,00 대,7000 만원, 600 , 00 ,24000,-선택사항- ,-선택사항-     
2213,서울 동작구 00동,330 , 32 개, 32 개,00 대,4천 만원, 290 , 00 ,2억8천,-선택사항- ,-선택사항-     
2214,서울 구로구 00동,350 , 36 개, 36 개,00 대,4천 만원, 390 , 30 ,3억9천,-선택사항- ,-선택사항-     
2215,서울 구로구 00동,320 , 29 개, 29 개,00 대,4천 만원, 300 , 00 ,2억6천,-선택사항- ,-선택사항-     
2216,서울 동작구 00동,328 , 35 개, 35 개,00 대,1억5천 만원, 470 , 30 ,3억2천,-선택사항- ,-선택사항-     
2217,서울 영등포구 00동,315 , 40 개, 20 개,00 대,5천 만원, 370 , 30 ,1억5천,-선택사항- ,-선택사항-     
2218,서울 강서구 00동,160ㅇ평 , 50 개, 50 개,노 대,2억 만원, 1000 , 노 ,2억,5호선 개화산역,-선택사항-     
2219,서울 동대문구 00동,추천 ,  개,  개,00 대,7000 만원, 410 , 00 ,2억8000,-선택사항- ,-선택사항-     
2220,서울 관악구 00동,330 , 36 개, 25 개,00 대,4000 만원, 450 , 00 ,19500,-선택사항- ,-선택사항-     
2221,서울 성동구 한양대,430 , 40 개, 40 개,1 대,4천 만원, 470 , 66 ,합3억4천,-선택사항- ,-선택사항-     
2222,서울 구로구 구로동,440 , 42 개, 42 개,1 대,5천 만원, 520 , 30 ,합3억2천,-선택사항- ,-선택사항-     
