고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
서울 강서구 00동,199.02, 50 개,  개,00 대,8000 만원,390, 110만원 ,17000,-선택사항- ,-선택사항-     ,8000,17000,50,390,110,34,17000,144,166,30.8,177.1,-29.5,3816,3816,3816,356,318,262,552,96,-576,46,8,-48,3,0,-3
서울 동작구 00동,423.14, 53 개,  개,00 대,4000 만원,500, 없음 ,21000,-선택사항- ,-선택사항-     ,4000,21000,53,500,0,38,21000,38,176,3.8,4.5,6.2,7224,7224,7224,672,602,495,5496,4656,3372,458,388,281,26,22,16
서울 종로구 00동,300, 30 개, 30 개,00 대,3천 만원,220,20,합3억,-선택사항- ,-선택사항-     ,3000,30000,30,220,20,42,30000,62,100,2.8,3.1,4,11472,11472,11472,1068,956,787,10872,9528,7500,906,794,625,36,31,25
서울 종로구 00동,90, 28 개, 4 개,노 대,4000 만원,220,  노 ,13500,4호선 ,-선택사항-     ,4000,13500,28,220,0,42,13500,42,93,4.7,5.6,7.9,4032,4032,4032,376,336,277,2892,2412,1704,241,201,142,21,17,12
서울 서초구 00동,320, 27 개, 27 개,00 대,8000 만원,540,0,2억4천,-선택사항- ,-선택사항-     ,8000,24000,27,540,0,45,24000,45,90,4,4.6,6,6792,6792,6792,633,566,466,5976,5172,3972,498,431,331,24,21,16
서울 영등포구 00동,420, 35 개, 35 개,00 대,8000 만원,550,0,3억3천,-선택사항- ,-선택사항-     ,8000,33000,35,550,0,38,33000,38,116,3.3,3.8,4.8,10620,10620,10620,989,885,729,10020,8772,6900,835,731,575,30,26,20
서울 중구 00동,281.55,  개,  개,00 대,5000 만원,443,0,29000,-선택사항- ,-선택사항-     ,5000,29000,0,443,0,41,29000,38,116,3.3,3.8,4.8,10620,10620,10620,989,885,729,10020,8772,6900,835,731,575,30,26,20
서울 강북구 미아동,380.88, 50 개, 8 개,X 대,5천 만원,308, 63만원 ,1억2천,-선택사항- ,-선택사항-     ,5000,12000,50,308,63,35,12000,98,166,76.9,-58.8,-16.7,2964,2964,2964,277,247,204,156,-204,-720,13,-17,-60,1,-1,-6
서울 금천구 00동,135,  개,  개,00 대,2000 만원,272,0,14000,-선택사항- ,-선택사항-     ,2000,14000,0,272,0,38,14000,98,166,76.9,-58.8,-16.7,2964,2964,2964,277,247,204,156,-204,-720,13,-17,-60,1,-1,-6
서울 서대문구 00동,250.25, 25 개,  개,00 대,1500 만원,180,0,8,-선택사항- ,-선택사항-     ,1500,80000,25,180,0,39,80000,39,83,2.2,2.5,3.1,33360,33360,33360,3107,2780,2289,35820,31896,26004,2985,2658,2167,44,39,32
서울 강남구 00동,330, 35 개, 20 개,00 대,6000 만원,480,0,2억1천,-선택사항- ,-선택사항-     ,6000,21000,35,480,0,48,21000,48,116,4.1,4.8,6.4,6372,6372,6372,593,531,437,5148,4404,3276,429,367,273,24,20,15
서울 서초구 서초동,203.7, 40 개, 26 개,2 대,6천 만원,575, 없음 ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,575,0,45,20000,45,133,4.4,5.3,7.2,5940,5940,5940,554,495,408,4512,3804,2760,376,317,230,22,19,13
서울 관악구 00동,220, 36 개,  개,00 대,5000 만원,330,0,18000,-선택사항- ,-선택사항-     ,5000,18000,36,330,0,33,18000,33,120,4.2,4.9,6.6,5520,5520,5520,514,460,379,4332,3684,2712,361,307,226,24,20,15
서울 종로구 을지로3가,123.71, 40 개, 40 개,X 대,7천 만원,600, 포함 ,3억7천,-선택사항- ,-선택사항-     ,7000,37000,40,600,0,42,37000,42,133,3,3.5,4.4,12744,12744,12744,1187,1062,875,12144,10644,8400,1012,887,700,32,28,22
서울 관악구 00동,330, 38 개, 0 개,00 대,7000 만원,320,0,1억5500,-선택사항- ,-선택사항-     ,7000,15500,38,320,0,33,15500,33,126,7.3,9.1,14.7,3612,3612,3612,336,301,247,2124,1704,1056,177,142,88,13,10,6
서울 강남구 00동,396, 40 개, 0 개,00 대,6000 만원,520,0,2억,-선택사항- ,-선택사항-     ,6000,20000,40,520,0,48,20000,48,133,4.5,5.3,7.3,5940,5940,5940,554,495,408,4476,3768,2724,373,314,227,22,18,13
서울 종로구 00동,100, 36 개,  개,00 대,8000 만원,450,0,18000,-선택사항- ,-선택사항-     ,8000,18000,36,450,0,42,18000,42,120,6.4,7.8,11.6,4248,4248,4248,395,354,291,2796,2304,1548,233,192,129,15,12,8
서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0,38,28000,38,116,3.1,3.5,4.5,9768,9768,9768,910,814,670,9072,7920,6192,756,660,516,32,28,22
서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0,38,21000,38,110,5.4,6.3,8.7,5100,5100,5100,475,425,350,3924,3324,2424,327,277,202,18,15,11
서울 강서구 화곡동,189.12, 35 개, 6 개,00 대,3000 만원,290,0,10000,-선택사항- ,-선택사항-     ,3000,10000,35,290,0,34,10000,34,116,6.6,8.6,15.4,2964,2964,2964,277,247,204,1524,1164,648,127,97,54,15,11,6
서울 강동구 00동,370, 57 개,  개,00 대,5000 만원,330,0,14000,-선택사항- ,-선택사항-     ,5000,14000,57,330,0,38,14000,38,190,9.1,13,34.3,3816,3816,3816,356,318,262,1536,1080,408,128,90,34,10,7,2
서울 강서구 등촌동,398.04, 60 개, 8 개,00 대,8000 만원,390,110,16000,-선택사항- ,-선택사항-     ,8000,16000,60,390,110,34,16000,144,200,-47.6,-21.9,-12,3396,3396,3396,316,283,233,-336,-732,-1332,-28,-61,-111,-2,-4,-8
서울 금천구 시흥동,371.44, 44 개, 7 개,00 대,5000 만원,400,70,11000,-선택사항- ,-선택사항-     ,5000,11000,44,400,70,38,11000,108,146,-53.9,-21.8,-11.6,2544,2544,2544,237,212,175,-204,-504,-948,-17,-42,-79,-1,-4,-8
서울 영등포구 도림동,246.04, 45 개, 7 개,00 대,3000 만원,260,0,9000,-선택사항- ,-선택사항-     ,3000,9000,45,260,0,38,9000,38,150,15.3,31.2,-57.7,2544,2544,2544,237,212,175,588,288,-156,49,24,-13,6,3,-1
서울 영등포구 당산동1가,249.9, 40 개, 7 개,00 대,3000 만원,240,10,10000,-선택사항- ,-선택사항-     ,3000,10000,40,240,10,38,10000,48,133,8.7,12.6,36.2,2964,2964,2964,277,247,204,1152,792,276,96,66,23,11,7,2
서울 서대문구 00동,450, 41 개, 43 개,3 대,4000 만원,450, 없음 ,2억,-선택사항- ,-선택사항-     ,4000,20000,41,450,0,39,20000,39,136,3.6,4.3,5.7,6792,6792,6792,633,566,466,5496,4692,3492,458,391,291,27,23,17
서울 중구 00동,130평 ,  개,  개,00 대,3000 만원,420,0,25000,-선택사항- ,-선택사항-     ,3000,25000,0,420,0,41,25000,39,136,3.6,4.3,5.7,6792,6792,6792,633,566,466,5496,4692,3492,458,391,291,27,23,17
서울 영등포구 00동,80평 ,  개,  개,00 대,7000 만원,380,0,16000,-선택사항- ,-선택사항-     ,7000,16000,0,380,0,38,16000,39,136,3.6,4.3,5.7,6792,6792,6792,633,566,466,5496,4692,3492,458,391,291,27,23,17
서울 강서구 00동,100평 ,  개,  개,00 대,9000 만원,473,0,17000,-선택사항- ,-선택사항-     ,9000,17000,0,473,0,34,17000,39,136,3.6,4.3,5.7,6792,6792,6792,633,566,466,5496,4692,3492,458,391,291,27,23,17
서울 강남구 00동,. , 29 개, . 개,. 대,. 만원, . , . ,2억,2호선 강남역,-선택사항-     ,0,20000,29,0,0,48,20000,48,96,2.6,3,3.8,8496,8496,8496,791,708,583,7764,6768,5268,647,564,439,38,33,26
서울 영등포구 00동,80평 ,  개,  개,00 대,3000 만원,240,0,11000,-선택사항- ,-선택사항-     ,3000,11000,0,240,0,38,11000,48,96,2.6,3,3.8,8496,8496,8496,791,708,583,7764,6768,5268,647,564,439,38,33,26
서울 마포구 00동,200평 ,  개,  개,00 대,7,['000 만원'],None,46,-선택사항- ,-선택사항-     ,7000,46000,0,0,0,40,46000,48,96,2.6,3,3.8,8496,8496,8496,791,708,583,7764,6768,5268,647,564,439,38,33,26
서울 금천구 00동,330, 47 개,  개,00 대,5천 만원,440,20,1억6천,-선택사항- ,-선택사항-     ,5000,16000,47,440,20,38,16000,58,156,6,7.6,12.6,4668,4668,4668,435,389,320,2652,2100,1272,221,175,106,16,13,7
서울 동작구 00동,180, 24 개,  개,00 대,5000 만원,250,0,14000,-선택사항- ,-선택사항-     ,5000,14000,24,250,0,38,14000,38,80,4.9,5.8,8.1,3816,3816,3816,356,318,262,2856,2400,1728,238,200,144,20,17,12
서울 강서구 00동,440, 40 개,  개,00 대,5000 만원,330,0,14000,-선택사항- ,-선택사항-     ,5000,14000,40,330,0,34,14000,34,133,6.2,7.7,12.3,3816,3816,3816,356,318,262,2268,1812,1140,189,151,95,16,12,8
서울 강동구 00동,240, 31 개,  개,00 대,3000 만원,200,0,8000,-선택사항- ,-선택사항-     ,3000,8000,31,200,0,38,8000,38,103,11.9,18.5,166.7,2124,2124,2124,197,177,145,672,432,48,56,36,4,8,5,0
서울 강동구 00동,250, 30 개,  개,00 대,3000 만원,350,0,16000,-선택사항- ,-선택사항-     ,3000,16000,30,350,0,38,16000,38,100,3.5,4.1,5.5,5520,5520,5520,514,460,379,4512,3864,2892,376,322,241,28,24,18
서울 강동구 00동,260, 32 개,  개,00 대,3000 만원,350,0,15000,-선택사항- ,-선택사항-     ,3000,15000,32,350,0,38,15000,38,106,3.8,4.4,6.1,5100,5100,5100,475,425,350,3972,3372,2472,331,281,206,26,22,16
서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0,38,15000,38,116,7.7,9.7,15.8,3396,3396,3396,316,283,233,1944,1548,948,162,129,79,12,10,6
서울 구로구 00동,340, 40 개, 27 개,1 대,4000 만원,380,0,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0,36,17000,36,133,4.1,4.9,6.7,5520,5520,5520,514,460,379,4140,3492,2520,345,291,210,24,20,14
서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50,42,19000,92,183,13.2,20,99,4248,4248,4248,395,354,291,1440,948,192,120,79,16,7,4,1
서울 동작구 00동,334, 31 개, 31 개,00 대,4000 만원,392, 없음 ,2억,-선택사항- ,-선택사항-     ,4000,20000,31,392,0,38,20000,38,103,3.4,3.9,5.1,6792,6792,6792,633,566,466,5904,5100,3900,492,425,325,29,25,19
서울 영등포구 00동,157.7, 40 개, 20 개,00 대,5000 만원,400, 없음 ,1억,-선택사항- ,-선택사항-     ,5000,10000,40,400,0,38,10000,38,133,32.1,138.9,-32.1,2124,2124,2124,197,177,145,312,72,-312,26,6,-26,3,0,-3
서울 동작구 00동,278, 38 개, 38 개,00 대,5000 만원,460, 없음 ,2억,-선택사항- ,-선택사항-     ,5000,20000,38,460,0,38,20000,38,126,3.9,4.5,6.1,6372,6372,6372,593,531,437,5148,4404,3276,429,367,273,25,22,16
서울 양천구 00동,390, 40 개,  개,00 대,4000 만원,370,0,14000,-선택사항- ,-선택사항-     ,4000,14000,40,370,0,35,14000,35,133,5.1,6.3,9.5,4248,4248,4248,395,354,291,2724,2232,1476,227,186,123,19,15,10
서울 종로구 00동,360, 38 개,  개,00 대,6000 만원,420,0,25000,-선택사항- ,-선택사항-     ,6000,25000,38,420,0,42,25000,42,126,3.6,4.1,5.4,8064,8064,8064,752,672,554,7008,6048,4632,584,504,386,28,24,18
서울 종로구 영등포동,500, 50 개, 원50 개,1 대,* 만원,690,50,합3억1천,-선택사항- ,-선택사항-     ,0,31000,50,690,50,42,31000,92,166,2.7,3.1,4,13164,13164,13164,1227,1097,904,11628,10068,7752,969,839,646,37,32,25
서울 영등포구 영등포동,370, 40 개, 원13 개,1 대,2500 만원,190,20,합1억7천,-선택사항- ,-선택사항-     ,2500,17000,40,190,20,38,17000,58,133,3.7,4.4,6.1,6156,6156,6156,573,513,422,4584,3864,2772,382,322,231,26,22,16
서울 강남구 서초동,390, 40 개, 원25 개,1 대,8천 만원,490,40,합1억9500,-선택사항- ,-선택사항-     ,8000,19500,40,490,40,48,19500,88,133,6.9,8.7,14.3,4884,4884,4884,455,407,335,2808,2232,1368,234,186,114,14,11,7
서울 광진구 중곡동,330, 34 개, 원17 개,1 대,5천 만원,360,30,합1억2천,-선택사항- ,-선택사항-     ,5000,12000,34,360,30,39,12000,69,113,10.5,15.4,45.5,2964,2964,2964,277,247,204,1140,780,264,95,65,22,9,6,2
서울 송파구 00동,313, 30 개, 30 개,00 대,5천 만원,370,30,3억3천,-선택사항- ,-선택사항-     ,5000,33000,30,370,30,42,33000,72,100,2.9,3.4,4.3,11892,11892,11892,1108,991,816,11232,9828,7728,936,819,644,34,29,23
서울 강북구 00동,244,  개,  개,00 대,3000 만원,346,0,1억4000,-선택사항- ,-선택사항-     ,3000,14000,0,346,0,35,14000,72,100,2.9,3.4,4.3,11892,11892,11892,1108,991,816,11232,9828,7728,936,819,644,34,29,23
서울 중구 00동,280.35, 28 개, 0 개,00 대,3000 만원,275,0,26000,-선택사항- ,-선택사항-     ,3000,26000,28,275,0,41,26000,41,93,2.8,3.2,4,9768,9768,9768,910,814,670,9312,8160,6432,776,680,536,35,31,24
서울 중랑구 00동,150,  개,  개,00 대, 만원,190, 5만원 ,7500,-선택사항- ,-선택사항-     ,0,7500,0,190,5,32,7500,41,93,2.8,3.2,4,9768,9768,9768,910,814,670,9312,8160,6432,776,680,536,35,31,24
서울 동작구 00동,217,  개,  개,00 대,3000 만원,200, 없음 ,3000,-선택사항- ,-선택사항-     ,3000,3000,0,200,0,38,3000,41,93,2.8,3.2,4,9768,9768,9768,910,814,670,9312,8160,6432,776,680,536,35,31,24
서울 중구 00동,224.85, 35 개, 0 개,16 대,5000 만원,443,0,19000,-선택사항- ,-선택사항-     ,5000,19000,35,443,0,41,19000,41,116,4,4.7,6.3,5940,5940,5940,554,495,408,4764,4056,3012,397,338,251,25,21,15
서울 노원구 00동,280,  개,  개,00 대,5000 만원,300,10,5000,-선택사항- ,-선택사항-     ,5000,5000,0,300,10,36,5000,41,116,4,4.7,6.3,5940,5940,5940,554,495,408,4764,4056,3012,397,338,251,25,21,15
서울 광진구 00동,290,  개, 29 개,1 대,4000 만원,400,0,18000,-선택사항- ,-선택사항-     ,4000,18000,0,400,0,39,18000,41,116,4,4.7,6.3,5940,5940,5940,554,495,408,4764,4056,3012,397,338,251,25,21,15
서울 동대문구 00동,290,  개,  개,00 대,3000 만원,210,0,8000,-선택사항- ,-선택사항-     ,3000,8000,0,210,0,37,8000,41,116,4,4.7,6.3,5940,5940,5940,554,495,408,4764,4056,3012,397,338,251,25,21,15
서울 서초구 양재동,360, 35 개, 16 개,없음 대,3200 만원,390, 별도 ,25000,-선택사항- ,-선택사항-     ,3200,25000,35,390,0,45,25000,45,116,3,3.4,4.4,9264,9264,9264,862,772,635,8412,7332,5688,701,611,474,33,29,22
서울 종로구 00동,288.58, 36 개,  개,00 대,11000 만원,594,0,32000,-선택사항- ,-선택사항-     ,11000,32000,36,594,0,42,32000,42,120,4,4.6,5.9,8916,8916,8916,831,743,612,8028,6972,5400,669,581,450,25,21,16
서울 구로구 구로동,630, 95 개, 0 개,1 대,8천 만원,550,30,권리금3천,-선택사항- ,-선택사항-     ,8000,3000,95,550,30,36,3000,66,316,-0.4,-0.4,-0.5,-2124,-2124,-2124,-197,-177,-145,-6948,-6708,-6324,-579,-559,-527,-231,-223,-210
서울 마포구 00동,352.52, 36 개,  개,없음 대,5000 만원,500, 사용량에 따라 ,26000,-선택사항- ,-선택사항-     ,5000,26000,36,500,0,40,26000,40,120,3.2,3.7,4.8,8916,8916,8916,831,743,612,8052,6996,5424,671,583,452,30,26,20
서울 마포구 00동,292.97, 38 개,  개,00 대,9000 만원,277, 150만원 ,27000,-선택사항- ,-선택사항-     ,9000,27000,38,277,150,40,27000,190,126,5.7,7,10.8,7644,7644,7644,712,637,525,4752,3852,2508,396,321,209,17,14,9
서울 중구 00동,280, 36 개,  개,00 대,6000 만원,400,0,18000,-선택사항- ,-선택사항-     ,6000,18000,36,400,0,41,18000,41,120,4.8,5.7,7.9,5100,5100,5100,475,425,350,3768,3168,2268,314,264,189,20,17,12
서울 광진구 00동,293, 43 개,  개,4 대,6000 만원,400,0,19000,-선택사항- ,-선택사항-     ,6000,19000,43,400,0,39,19000,39,143,4.8,5.7,8,5520,5520,5520,514,460,379,3984,3336,2364,332,278,197,20,17,12
서울 종로구 숭인동,235.14, 20 개, 20 개,X 대,6천 만원,330, 40만원 ,1억6천5백,-선택사항- ,-선택사항-     ,6000,16500,20,330,40,42,16500,82,66,5.1,6.2,8.7,4452,4452,4452,415,371,306,3204,2676,1896,267,223,158,19,16,11
서울 종로구 00동,280, 35 개,  개,1 대,3000 만원,280,0,85000,-선택사항- ,-선택사항-     ,3000,85000,35,280,0,42,85000,42,116,2.3,2.6,3.2,34848,34848,34848,3245,2904,2391,37044,32952,26796,3087,2746,2233,43,38,31
서울 성북구 삼선동,102.35, 35 개, 5 개,X 대,4천 만원,250, 없음 ,8천,-선택사항- ,-선택사항-     ,4000,8000,35,250,0,37,8000,37,116,133.3,-55.6,-18,1692,1692,1692,158,141,116,60,-144,-444,5,-12,-37,0,-1,-5
서울 성동구 구의동,440, 42 개, 42 개,1 대,4천 만원,475,60,합3억3천,-선택사항- ,-선택사항-     ,4000,33000,42,475,60,38,33000,98,140,3,3.5,4.5,12324,12324,12324,1147,1027,845,10908,9468,7284,909,789,607,33,28,22
서울 성북구 00동,430,  개,  개,00 대, 만원,450,0,합,-선택사항- ,-선택사항-     ,0,0,0,450,0,37,0,98,140,3,3.5,4.5,12324,12324,12324,1147,1027,845,10908,9468,7284,909,789,607,33,28,22
서울 서대문구 00동,199.68, 31 개,  개,00 대,2000 만원,250,0,11000,-선택사항- ,-선택사항-     ,2000,11000,31,250,0,39,11000,39,103,4.3,5.2,7.6,3816,3816,3816,356,318,262,2568,2112,1440,214,176,120,23,19,13
서울 동작구 노량진동,122.5, 39 개, 39 개,X 대,5천 만원,460, 없음 ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,39,460,0,38,27000,38,130,3.2,3.7,4.8,9348,9348,9348,870,779,641,8424,7332,5676,702,611,473,31,27,21
서울 마포구 합정동,360, 40 개, 17 개,1 대,5천 만원,390,20,합1억7천,-선택사항- ,-선택사항-     ,5000,17000,40,390,20,40,17000,60,133,5,6.1,9,5100,5100,5100,475,425,350,3384,2784,1884,282,232,157,19,16,11
서울 종로구 종각,600, 93 개, 43 개,00 대,2억 만원,1350,0,권리금,-선택사항- ,-선택사항-     ,20000,20000,93,1350,0,42,20000,42,310,-4.7,-4.7,-4.7,0,0,0,0,0,0,-4224,-4224,-4224,-352,-352,-352,-21,-21,-21
서울 송파구 00동,320, 36 개, 22 개,00 대,6000 만원,495,0,2억4천,-선택사항- ,-선택사항-     ,6000,24000,36,495,0,42,24000,42,120,3.6,4.2,5.5,7644,7644,7644,712,637,525,6600,5700,4356,550,475,363,27,23,18
서울 송파구 00동,320, 36 개, 22 개,00 대,6천 만원,495,0,2억4천,-선택사항- ,-선택사항-     ,6000,24000,36,495,0,42,24000,42,120,3.6,4.2,5.5,7644,7644,7644,712,637,525,6600,5700,4356,550,475,363,27,23,18
서울 강남구 00동,143.08,  개,  개,00 대,6000 만원,450,0,23000,-선택사항- ,-선택사항-     ,6000,23000,0,450,0,48,23000,42,120,3.6,4.2,5.5,7644,7644,7644,712,637,525,6600,5700,4356,550,475,363,27,23,18
서울 강남구 00동,247.24, 상담 개,  개,00 대,7000 만원,770, 없음 ,38000,-선택사항- ,-선택사항-     ,7000,38000,0,770,0,48,38000,42,120,3.6,4.2,5.5,7644,7644,7644,712,637,525,6600,5700,4356,550,475,363,27,23,18
서울 중구 00동,360, 34 개, 0 개,00 대,5000 만원,430,0,2억8000,-선택사항- ,-선택사항-     ,5000,28000,34,430,0,41,28000,41,113,3.1,3.5,4.5,9768,9768,9768,910,814,670,9072,7920,6192,756,660,516,32,28,22
서울 강동구 00동,429, 43 개, 43 개,2 대,4000 만원,520,0,3억3000,-선택사항- ,-선택사항-     ,4000,33000,43,520,0,38,33000,38,143,2.8,3.3,4.1,12324,12324,12324,1147,1027,845,11592,10152,7968,966,846,664,35,30,24
서울 동대문구 청량리동,143.64, 22 개, 3 개,X 대,2천 만원,165, 없음 ,5천,-선택사항- ,-선택사항-     ,2000,5000,22,165,0,37,5000,37,73,52.1,-104.2,-18.1,1272,1272,1272,118,106,87,96,-48,-276,8,-4,-23,1,0,-5
서울 구로구 오류동,261.8, 44 개, 6 개,00 대,3000 만원,300,5,15000,-선택사항- ,-선택사항-     ,3000,15000,44,300,5,36,15000,41,146,4.3,5.3,7.7,5100,5100,5100,475,425,350,3456,2856,1956,288,238,163,23,19,13
서울 광진구 00동,300, 34 개,  개,3 대,5000 만원,200, 없음 ,1억,-선택사항- ,-선택사항-     ,5000,10000,34,200,0,39,10000,39,113,18.5,33.3,-119,2124,2124,2124,197,177,145,540,300,-84,45,25,-7,5,3,0
서울 구로구 오류동,335.2, 38 개, 6 개,00 대,5000 만원,297,60,13000,-선택사항- ,-선택사항-     ,5000,13000,38,297,60,36,13000,96,126,11.5,17.8,98.5,3396,3396,3396,316,283,233,1128,732,132,94,61,11,8,5,1
서울 영등포구 신길동,380, 57 개, 7 개,00 대,5000 만원,385,0,12000,-선택사항- ,-선택사항-     ,5000,12000,57,385,0,38,12000,38,190,20.4,52.6,-41.7,2964,2964,2964,277,247,204,588,228,-288,49,19,-24,4,1,-2
서울 동작구 00동,100,  개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,0,510,0,38,21000,38,190,20.4,52.6,-41.7,2964,2964,2964,277,247,204,588,228,-288,49,19,-24,4,1,-2
서울 강동구 00동,120,  개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,0,550,0,38,28000,38,190,20.4,52.6,-41.7,2964,2964,2964,277,247,204,588,228,-288,49,19,-24,4,1,-2
서울 종로구 00동,100, 36 개,  개,00 대,8000 만원,450,0,18000,-선택사항- ,-선택사항-     ,8000,18000,36,450,0,42,18000,42,120,6.4,7.8,11.6,4248,4248,4248,395,354,291,2796,2304,1548,233,192,129,15,12,8
서울 영등포구 대림동,348.94, 34 개, 6 개,00 대,7000 만원,360,15,15000,-선택사항- ,-선택사항-     ,7000,15000,34,360,15,38,15000,53,113,8.3,10.7,18.7,3396,3396,3396,316,283,233,1800,1404,804,150,117,67,12,9,5
서울 동대문구 동대문동,340, 23 개, 23 개,1 대,5000 만원,300,0,2억3천,-선택사항- ,-선택사항-     ,5000,23000,23,300,0,37,23000,37,76,3.2,3.7,4.7,7644,7644,7644,712,637,525,7188,6288,4944,599,524,412,31,27,21
서울 강서구 강서구,105평 ,  개,  개,1 대, 만원,290,0,1억5천,-선택사항- ,-선택사항-     ,0,15000,0,290,0,34,15000,37,76,3.2,3.7,4.7,7644,7644,7644,712,637,525,7188,6288,4944,599,524,412,31,27,21
서울 동작구 동작구,132평 , 46 개,  개,00 대,9천 만원,320, X ,2억8천,-선택사항- ,-선택사항-     ,9000,28000,46,320,0,38,28000,38,153,4.2,4.9,6.4,8064,8064,8064,752,672,554,6732,5772,4356,561,481,363,24,20,15
서울 동작구 동작구,132평 , 46 개,  개,00 대,9천 만원,320, X ,2억8천,-선택사항- ,-선택사항-     ,9000,28000,46,320,0,38,28000,38,153,4.2,4.9,6.4,8064,8064,8064,752,672,554,6732,5772,4356,561,481,363,24,20,15
서울 송파구 00동,496.97, 43 개,  개,00 대, 만원,700,0,51000,-선택사항- ,-선택사항-     ,0,51000,43,700,0,42,51000,42,143,2.3,2.6,3.3,21672,21672,21672,2018,1806,1487,21996,19452,15624,1833,1621,1302,43,38,30
서울 관악구 신림동,224.42, 34 개, 6 개,00 대,3000 만원,317,0,6000,-선택사항- ,-선택사항-     ,3000,6000,34,317,0,33,6000,33,113,-17.9,-12.5,-8.5,1272,1272,1272,118,106,87,-336,-480,-708,-28,-40,-59,-5,-8,-11
서울 관악구 봉천동,192.92, 33 개, 6 개,00 대,2000 만원,195,0,7000,-선택사항- ,-선택사항-     ,2000,7000,33,195,0,33,7000,33,110,10.8,17.2,291.7,2124,2124,2124,197,177,145,648,408,24,54,34,2,9,5,0
서울 동작구 00동,328, 35 개, 35 개,00 대,1억5천 만원,470,30,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30,38,32000,68,116,5.5,6.4,8.6,7224,7224,7224,672,602,495,5856,5016,3732,488,418,311,18,15,11
서울 송파구 00동,300, 30 개, 30 개,00 대,4천 만원,400,50,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,400,50,42,23000,92,100,3.4,4,5.3,8064,8064,8064,752,672,554,6720,5760,4344,560,480,362,29,25,18
서울 서대문구 00동,285, 44 개, 4 개,00 대,7000 만원,310,0,시설비1200,-선택사항- ,-선택사항-     ,7000,1200,44,310,0,39,1200,39,146,-0.2,-0.3,-0.3,-2460,-2460,-2460,-229,-205,-169,-4968,-4680,-4248,-414,-390,-354,-413,-390,-354
서울 종로구 00동,250,  개,  개,00 대,8000 만원,520,0,1억8000,-선택사항- ,-선택사항-     ,8000,18000,0,520,0,42,18000,39,146,-0.2,-0.3,-0.3,-2460,-2460,-2460,-229,-205,-169,-4968,-4680,-4248,-414,-390,-354,-413,-390,-354
서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0,38,15000,38,116,7.7,9.7,15.8,3396,3396,3396,316,283,233,1944,1548,948,162,129,79,12,10,6
서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50,42,19000,92,183,13.2,20,99,4248,4248,4248,395,354,291,1440,948,192,120,79,16,7,4,1
서울 관악구 00동,330, 36 개, 25 개,00 대,4000 만원,450,0,2억,-선택사항- ,-선택사항-     ,4000,20000,36,450,0,33,20000,33,120,3.5,4,5.3,6792,6792,6792,633,566,466,5760,4956,3756,480,413,313,28,24,18
서울 광진구 중곡동,330, 34 개, 원17 개,1 대,5천 만원,360,30,합1억2천,-선택사항- ,-선택사항-     ,5000,12000,34,360,30,39,12000,69,113,10.5,15.4,45.5,2964,2964,2964,277,247,204,1140,780,264,95,65,22,9,6,2
서울 성동구 구의동,440, 42 개, 원42 개,1 대,4천 만원,475,60,합3억4천,-선택사항- ,-선택사항-     ,4000,34000,42,475,60,38,34000,98,140,3,3.4,4.4,12744,12744,12744,1187,1062,875,11388,9888,7644,949,824,637,33,29,22
서울 동작구 동작동,440, 24 개, 큰24 개,1 대,8천 만원,280,20,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,20,38,24000,58,80,4,4.7,6.1,6792,6792,6792,633,566,466,5940,5136,3936,495,428,328,24,21,16
