고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
서울 서초구 서초동,203.7, 40 개, 26 개,2 대,6천 만원,575, 없음 ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,575,0,45,20000,45,133,4.4,5.3,7.2,5940,5940,5940,554,495,408,4512,3804,2760,376,317,230,22,19,13
서울 강동구 00동,422.18, 54 개, 17 개,4 대,8000 만원,500, 포함 ,2억,-선택사항- ,-선택사항-     ,8000,20000,54,500,0,38,20000,38,180,6.5,8.1,12.6,5100,5100,5100,475,425,350,3084,2484,1584,257,207,132,15,12,7
서울 도봉구 00동,250, 42 개,  개,00 대,4000 만원,210,0,9000,-선택사항- ,-선택사항-     ,4000,9000,42,210,0,32,9000,32,140,30,150,-27.8,2124,2124,2124,197,177,145,300,60,-324,25,5,-27,3,0,-3
서울 서초구 00동,211.8, 35 개, 16 개,없음 대,3천 만원,433, 없음 ,2억5천,-선택사항- ,-선택사항-     ,3000,25000,35,433,0,45,25000,45,116,2.9,3.4,4.3,9348,9348,9348,870,779,641,8508,7416,5760,709,618,480,34,29,23
서울 마포구 00동,150평 ,  개,  개,00 대,9000 만원,900,0,46000,-선택사항- ,-선택사항-     ,9000,46000,0,900,0,40,46000,45,116,2.9,3.4,4.3,9348,9348,9348,870,779,641,8508,7416,5760,709,618,480,34,29,23
서울 강남구 00동,303.14, 35 개,  개,00 대,5000 만원,638,0,23000,-선택사항- ,-선택사항-     ,5000,23000,35,638,0,48,23000,48,116,3.5,4.1,5.3,7644,7644,7644,712,637,525,6576,5676,4332,548,473,361,28,24,18
서울 영등포구 00동,246.04, 43 개,  개,00 대,3500 만원,260,0,1억,-선택사항- ,-선택사항-     ,3500,10000,43,260,0,38,10000,38,143,11,17,104.2,2760,2760,2760,257,230,189,912,588,96,76,49,8,9,5,0
서울 종로구 낙원동,593.92, 77 개, 9 개,00 대,7000 만원,620,0,19000,-선택사항- ,-선택사항-     ,7000,19000,77,620,0,42,19000,42,256,8.9,12.5,30.4,5100,5100,5100,475,425,350,2124,1524,624,177,127,52,11,8,3
서울 강남구 00동,523.8, 64 개,  개,00 대,5000 만원,750,0,29000,-선택사항- ,-선택사항-     ,5000,29000,64,750,0,48,29000,48,213,3.5,4.1,5.5,10200,10200,10200,950,850,700,8268,7068,5268,689,589,439,28,24,18
서울 송파구 문정동,277.44, 29 개, 16 개,00 대,3000 만원,355,0,20000,-선택사항- ,-선택사항-     ,3000,20000,29,355,0,42,20000,42,96,3.1,3.6,4.7,7224,7224,7224,672,602,495,6408,5568,4284,534,464,357,32,27,21
서울 중구 00동,495, 50 개,  개,00 대,5000 만원,500,0,3억7000,-선택사항- ,-선택사항-     ,5000,37000,50,500,0,41,37000,41,166,2.9,3.3,4.2,13596,13596,13596,1266,1133,933,12708,11112,8712,1059,926,726,34,30,23
서울 송파구 00동,300, 30 개, 30 개,00 대,4천 만원,390,60,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,390,60,42,23000,102,100,3.5,4.1,5.4,8064,8064,8064,752,672,554,6600,5640,4224,550,470,352,28,24,18
서울 동대문구 00동,330, 30 개, 30 개,00 대,5000 만원,340,0,2억6000,-선택사항- ,-선택사항-     ,5000,26000,30,340,0,37,26000,37,100,3.1,3.6,4.6,8916,8916,8916,831,743,612,8328,7272,5700,694,606,475,32,27,21
서울 성북구 00동,520, 47 개, 47 개,00 대,5천 만원,680,50,3억2천,-선택사항- ,-선택사항-     ,5000,32000,47,680,50,37,32000,87,156,3.2,3.7,4.9,11472,11472,11472,1068,956,787,9900,8556,6528,825,713,544,30,26,20
서울 노원구 00동,500, 55 개,  개,00 대,6000 만원,680,0,30000,-선택사항- ,-선택사항-     ,6000,30000,55,680,0,36,30000,36,183,3.4,4,5.2,10200,10200,10200,950,850,700,8772,7572,5772,731,631,481,29,25,19
서울 중구 00동,380, 42 개, 42 개,00 대,6천 만원,580,50,3억6천,-선택사항- ,-선택사항-     ,6000,36000,42,580,50,41,36000,91,140,3.1,3.6,4.7,12744,12744,12744,1187,1062,875,11472,9972,7728,956,831,644,31,27,21
서울 서대문구 00동,360, 27 개,  개,00 대,2억 만원,550,0,3억4000,-선택사항- ,-선택사항-     ,20000,34000,27,550,0,39,34000,39,90,6.7,7.7,10.2,5940,5940,5940,554,495,408,5100,4392,3348,425,366,279,15,12,9
