고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
서울 중구 명동,330, 30 개, 원30 개,00 대,3천 만원,220,20,합2억7천,-선택사항- ,-선택사항-     ,3000,27000,30,220,20
서울 구로구 대림역,360, 40 개, 원26 개,1 대,4천 만원,380,30,합1억7천,-선택사항- ,-선택사항-     ,4000,17000,40,380,30
서울 동작구 노량진동,430, 24 개, 큰24 개,1 대,7천 만원,280,30,합2억4천,-선택사항- ,-선택사항-     ,7000,24000,24,280,30
서울 광진구 구의동,420, 42 개, 42 개,1 대,4천 만원,475,60,합3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,475,60
서울 중랑구 상봉동,390, 30 개, 원30 개,1 대,5천 만원,370,10,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,370,10
서울 강남구 도곡역,370, 40 개, 문의 개,1 대,6천 만원,330,0,합2억7천,-선택사항- ,-선택사항-     ,6000,27000,40,330,0
서울 마포구 00동,430, 39 개, 39 개,00 대,11000 만원,540,0,3억2천,-선택사항- ,-선택사항-     ,11000,32000,39,540,0
서울 동대문구 00동,. ,  개,  개,00 대, 만원, . ,0,2억8천,-선택사항- ,-선택사항-     ,0,28000,0,0,0
서울 서초구 00동,. , 50 개,  개,00 대, 만원, . ,0,2억2천,-선택사항- ,-선택사항-     ,0,22000,50,0,0
서울 도봉구 00동,390, 40 개,  개,32 대,4000 만원,210,0,9000,-선택사항- ,-선택사항-     ,4000,9000,40,210,0
서울 관악구 00동,0, 37 개,  개,00 대,6000 만원,340,0,17000,-선택사항- ,-선택사항-     ,6000,17000,37,340,0
서울 강남구 역삼동,303.14, 37 개, 18 개,00 대,5000 만원,638,0,23000,-선택사항- ,-선택사항-     ,5000,23000,37,638,0
서울 종로구 관철동,288.58, 37 개, 37 개,00 대,11000 만원,594,0,30000,-선택사항- ,-선택사항-     ,11000,30000,37,594,0
서울 서초구 00동,0, 27 개,  개,00 대, 만원,200,0,3000,-선택사항- ,-선택사항-     ,0,3000,27,200,0
서울 강남구 00동,303.14, 35 개, 18 개,00 대,5000 만원,638, 포함 ,25000,-선택사항- ,-선택사항-     ,5000,25000,35,638,0
서울 송파구 잠실본동,468.99, 40 개, 40 개,00 대,6천 만원,735, 무 ,4억,-선택사항- ,-선택사항-     ,6000,40000,40,735,0
서울 중구 청계천로,358.02, 32 개, 32 개,00 대,5천 만원,558, 무 ,3억2천,-선택사항- ,-선택사항-     ,5000,32000,32,558,0
서울 종로구 00동,166.65,  개,  개,00 대,4천 만원,250, 사용량에따라 ,2억2천,-선택사항- ,-선택사항-     ,4000,22000,0,250,0
서울 영등포구 대방동,151.9, 40 개, 25 개,2 대,2천5백 만원,330, 없음 ,1억9천5백,-선택사항- ,-선택사항-     ,2500,19500,40,330,0
서울 성북구 00동,193.2, 35 개, 6 개,00 대,4천 만원,230, 없음 ,7천,-선택사항- ,-선택사항-     ,4000,7000,35,230,0
서울 강북구 00동,262.98, 17 개, 17 개,2 대,3000 만원,250,0,16000,-선택사항- ,-선택사항-     ,3000,16000,17,250,0
서울 성북구 길음동,297.09, 36 개, 36 개,X 대,7천5백 만원,490, 포함 ,2억7천5백,-선택사항- ,-선택사항-     ,7500,27500,36,490,0
서울 서초구 서초동,203.7, 40 개, 26 개,2 대,6천 만원,575, 없음 ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,575,0
서울 강동구 00동,422.18, 54 개, 17 개,4 대,8000 만원,500, 포함 ,2억,-선택사항- ,-선택사항-     ,8000,20000,54,500,0
서울 도봉구 00동,250, 42 개,  개,00 대,4000 만원,210,0,9000,-선택사항- ,-선택사항-     ,4000,9000,42,210,0
서울 서초구 00동,211.8, 35 개, 16 개,없음 대,3천 만원,433, 없음 ,2억5천,-선택사항- ,-선택사항-     ,3000,25000,35,433,0
서울 마포구 00동,150평 ,  개,  개,00 대,9000 만원,900,0,46000,-선택사항- ,-선택사항-     ,9000,46000,0,900,0
서울 강남구 00동,303.14, 35 개,  개,00 대,5000 만원,638,0,23000,-선택사항- ,-선택사항-     ,5000,23000,35,638,0
서울 영등포구 00동,246.04, 43 개,  개,00 대,3500 만원,260,0,1억,-선택사항- ,-선택사항-     ,3500,10000,43,260,0
서울 종로구 낙원동,593.92, 77 개, 9 개,00 대,7000 만원,620,0,19000,-선택사항- ,-선택사항-     ,7000,19000,77,620,0
서울 강남구 00동,523.8, 64 개,  개,00 대,5000 만원,750,0,29000,-선택사항- ,-선택사항-     ,5000,29000,64,750,0
서울 송파구 문정동,277.44, 29 개, 16 개,00 대,3000 만원,355,0,20000,-선택사항- ,-선택사항-     ,3000,20000,29,355,0
서울 중구 00동,495, 50 개,  개,00 대,5000 만원,500,0,3억7000,-선택사항- ,-선택사항-     ,5000,37000,50,500,0
서울 송파구 00동,300, 30 개, 30 개,00 대,4천 만원,390,60,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,390,60
서울 동대문구 00동,330, 30 개, 30 개,00 대,5000 만원,340,0,2억6000,-선택사항- ,-선택사항-     ,5000,26000,30,340,0
서울 성북구 00동,520, 47 개, 47 개,00 대,5천 만원,680,50,3억2천,-선택사항- ,-선택사항-     ,5000,32000,47,680,50
서울 노원구 00동,500, 55 개,  개,00 대,6000 만원,680,0,30000,-선택사항- ,-선택사항-     ,6000,30000,55,680,0
서울 중구 00동,380, 42 개, 42 개,00 대,6천 만원,580,50,3억6천,-선택사항- ,-선택사항-     ,6000,36000,42,580,50
서울 서대문구 00동,360, 27 개,  개,00 대,2억 만원,550,0,3억4000,-선택사항- ,-선택사항-     ,20000,34000,27,550,0
서울 동작구 00동,420, 55 개,  개,00 대,4000 만원,500,0,21000,-선택사항- ,-선택사항-     ,4000,21000,55,500,0
서울 동작구 00동,217,  개,  개,00 대,3000 만원,200, 없음 ,7000,-선택사항- ,-선택사항-     ,3000,7000,0,200,0
서울 마포구 00동,150평 ,  개,  개,00 대,7000 만원,480,0,45000,-선택사항- ,-선택사항-     ,7000,45000,0,480,0
서울 관악구 00동,180, 30 개,  개,00 대,4000 만원,240,0,9000,-선택사항- ,-선택사항-     ,4000,9000,30,240,0
서울 양천구 00동,294, 30 개, 30 개,00 대,4천 만원,290,30,1억5천,-선택사항- ,-선택사항-     ,4000,15000,30,290,30
서울 동대문구 00동,120평 ,  개,  개,00 대,5000 만원,500,0,31000,-선택사항- ,-선택사항-     ,5000,31000,0,500,0
서울 강동구 성내동,422.18, 54 개, 15 개,00 대,8000 만원,500,0,19000,-선택사항- ,-선택사항-     ,8000,19000,54,500,0
서울 마포구 00동,410, 39 개, 39 개,00 대,1억1천 만원,540,0,3억2천,-선택사항- ,-선택사항-     ,11000,32000,39,540,0
서울 동대문구 00동,90평 ,  개,  개,00 대,5000 만원,340,0,17000,-선택사항- ,-선택사항-     ,5000,17000,0,340,0
서울 동대문구 00동,244,  개,  개,00 대,300 만원,3000, 2~3층/3층 ,11000,-선택사항- ,-선택사항-     ,300,11000,0,3000,0
서울 동대문구 00동,110,  개,  개,00 대,6500 만원,505,0,7000,-선택사항- ,-선택사항-     ,6500,7000,0,505,0
서울 동대문구 00동,422, 30중� 개,  개,5 대,7000 만원,410,0,28000,-선택사항- ,-선택사항-     ,7000,28000,30,410,0
서울 종로구 00동,287, 60개� 개,  개,00 대,7000 만원,600,0,36000,-선택사항- ,-선택사항-     ,7000,36000,60,600,0
서울 종로구 00동,235, 20 개,  개,44 대,6000 만원,300,0,15500,-선택사항- ,-선택사항-     ,6000,15500,20,300,0
서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0
서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0
서울 서초구 이수역,130평 , 43 개,  개,00 대, 만원,650,0,3억5천,-선택사항- ,-선택사항-     ,0,35000,43,650,0
서울 강남구 00동,460, 48 개, 48 개,00 대,1억2천 만원,790,50,4억2천,-선택사항- ,-선택사항-     ,12000,42000,48,790,50
서울 송파구 00동,313, 30 개, 30 개,00 대,5천 만원,370,30,3억2천,-선택사항- ,-선택사항-     ,5000,32000,30,370,30
서울 성동구 00동,376, 42 개, 42 개,00 대,4천 만원,470,60,3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,470,60
서울 동작구 00동,328, 35 개, 35 개,00 대,1억5천 만원,470,30,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30
서울 구로구 00동,462, 41 개, 41 개,00 대,5천 만원,420,30,4억1천,-선택사항- ,-선택사항-     ,5000,41000,41,420,30
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0
서울 강남구 양재동,398, 35 개, 35 개,3 대,5000 만원,700,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,700,0
서울 서대문구 00동,. , ☎ 개, . 개,. 대,. 만원, . , . ,4억8천,2호선 신촌역,-선택사항-     ,0,48000,0,0,0
서울 관악구 00동,. , 39 개, . 개,. 대,. 만원, . , . ,1억9천,2호선 구로디지털역,-선택사항-     ,0,19000,39,0,0
서울 서대문구 00동,. , 35 개, . 개,. 대,. 만원, . , . ,9천,2호선 신촌역,-선택사항-     ,0,9000,35,0,0
서울 강남구 00동,. , 36 개, . 개,. 대,. 만원, . , . ,3억2천,2호선 역삼역,-선택사항-     ,0,32000,36,0,0
서울 동작구 00동,. , 30 개, . 개,. 대,. 만원, . , . ,3억1천,9호선 노량진역,-선택사항-     ,0,31000,30,0,0
서울 광진구 중곡동,187, 42 개, 4 개,3 대,4000 만원,250, 없음 ,8000,-선택사항- ,-선택사항-     ,4000,8000,42,250,0
서울 강서구 공항동,220, 31 개,  개,1 대,5000 만원,160,0,7천만,5호선 송정역,-선택사항-     ,5000,7000,31,160,0
서울 동대문구 이문동,489, 36 개, 37 개,4 대,7000 만원,25000, 없슴 ,25000,-선택사항- ,-선택사항-     ,7000,25000,36,25000,0
서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0
서울 구로구 00동,340, 40 개, 24 개,1 대,4000 만원,360, 별도 ,17000,-선택사항- ,-선택사항-     ,4000,17000,40,360,0
서울 성북구 월곡동,264.4, 42 개, 2 개,2 대,4000 만원,200, 없슴 ,9000,-선택사항- ,-선택사항-     ,4000,9000,42,200,0
서울 용산구 00동,561, 50 개,  개,1 대,500 만원,700,0,1억4천만,4호선 숙대입구역,서울 숙명여자대학교    ,500,14000,50,700,0
서울 금천구 00동,380,  개,  개,00 대,5000 만원,400,0,17000,-선택사항- ,-선택사항-     ,5000,17000,0,400,0
서울 노원구 00동,410, 40 개,  개,00 대,3000 만원,400,0,18000,-선택사항- ,-선택사항-     ,3000,18000,40,400,0
서울 종로구 숭인동,195, 20 개, 20 개,00 대,6천 만원,300, 별도 ,1억5천,-선택사항- ,-선택사항-     ,6000,15000,20,300,0
서울 서대문구 창천동,238.78, 37 개, 37 개,00 대,3천6백 만원,495, 무 ,2억,-선택사항- ,-선택사항-     ,3600,20000,37,495,0
서울 서초구 00동,403.3, 50 개,  개,00 대,8500 만원,540,50,23,-선택사항- ,-선택사항-     ,8500,23000,50,540,50
서울 영등포구 영등포동,390, 40 개, 13 개,1 대,2500 만원,190,30,합1억7500,-선택사항- ,-선택사항-     ,2500,17500,40,190,30
서울 동작구 노량진동,420, 큰24 개, 원24 개,1 대,8천 만원,280,30,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,30
서울 강남구 서초동,390, 40 개, 원25 개,1 대,6천 만원,490,50,합1억9500,-선택사항- ,-선택사항-     ,6000,19500,40,490,50
서울 광진구 건대,420, 42 개, 원42 개,1 대,4천 만원,475,60,합3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,475,60
서울 중구 명동,330, 30 개, 30 개,00 대,3 만원,220,30,합2억7천,-선택사항- ,-선택사항-     ,3,27000,30,220,30
서울 동작구 00동,200, 33 개,  개,00 대,6000 만원,300, 없음 ,36000,-선택사항- ,-선택사항-     ,6000,36000,33,300,0
서울 강남구 00동,470, 52 개,  개,1 대,1억 만원,500,0,2억2천,-선택사항- ,-선택사항-     ,10000,22000,52,500,0
서울 동작구 00동,465.3, 77 개,  개,00 대,5000 만원,460,0,29000,-선택사항- ,-선택사항-     ,5000,29000,77,460,0
서울 동작구 00,330, 32 개, 32 개,1 대,4000 만원,340,0,2억2천,-선택사항- ,-선택사항-     ,4000,22000,32,340,0
서울 강동구 00동,360, 50 개, 0 개,00 대,5000 만원,470,0,1억8000,-선택사항- ,-선택사항-     ,5000,18000,50,470,0
서울 종로구 숭인동,235.14, 20 개, 20 개,X 대,6천 만원,330, 40만원 ,1억6천5백,-선택사항- ,-선택사항-     ,6000,16500,20,330,40
서울 성북구 삼선동,102.35, 35 개, 5 개,X 대,4천 만원,250, 없음 ,8천,-선택사항- ,-선택사항-     ,4000,8000,35,250,0
서울 종로구 00동,270, 33 개,  개,00 대,3000 만원,230,0,8000,-선택사항- ,-선택사항-     ,3000,8000,33,230,0
서울 강북구 수유동,228.53, 23 개, 23 개,X 대,4천 만원,200, 없음 ,2억2천,-선택사항- ,-선택사항-     ,4000,22000,23,200,0
서울 송파구 00동,0, 40 개,  개,00 대,3000 만원,180,0,9000,-선택사항- ,-선택사항-     ,3000,9000,40,180,0
서울 동작구 노량진동,122.5, 39 개, 39 개,X 대,5천 만원,460, 없음 ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,39,460,0
서울 영등포구 00동,380, 57 개,  개,00 대,5000 만원,385,0,14000,-선택사항- ,-선택사항-     ,5000,14000,57,385,0
서울 동대문구 청량리동,143.64, 22 개, 3 개,X 대,2천 만원,165, 없음 ,5천,-선택사항- ,-선택사항-     ,2000,5000,22,165,0
